Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,CSV File Name,Date Reported
Hubei,China,2020-03-13T11:09:03,67786,3062,51553,30.9756,112.2707,03-13-2020.csv,03-13-2020
Guangdong,China,2020-03-13T11:09:03,1356,8,1296,23.3417,113.4244,03-13-2020.csv,03-13-2020
Henan,China,2020-03-11T08:13:09,1273,22,1249,33.882,113.614,03-13-2020.csv,03-13-2020
Zhejiang,China,2020-03-12T01:33:02,1215,1,1197,29.1832,120.0934,03-13-2020.csv,03-13-2020
Hunan,China,2020-03-13T11:09:03,1018,4,1005,27.6104,111.7088,03-13-2020.csv,03-13-2020
Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264,03-13-2020.csv,03-13-2020
Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221,03-13-2020.csv,03-13-2020
Shandong,China,2020-03-13T11:09:03,760,7,739,36.3427,118.1498,03-13-2020.csv,03-13-2020
Jiangsu,China,2020-03-13T11:09:03,631,0,630,32.9711,119.455,03-13-2020.csv,03-13-2020
Chongqing,China,2020-03-13T23:13:12,576,6,566,30.0572,107.874,03-13-2020.csv,03-13-2020
Sichuan,China,2020-03-13T11:09:03,539,3,503,30.6171,102.7103,03-13-2020.csv,03-13-2020
Heilongjiang,China,2020-03-13T11:09:03,482,13,446,47.862,127.7615,03-13-2020.csv,03-13-2020
Beijing,China,2020-03-13T11:09:03,436,8,342,40.1824,116.4142,03-13-2020.csv,03-13-2020
Shanghai,China,2020-03-13T11:09:03,346,3,324,31.202,121.4491,03-13-2020.csv,03-13-2020
Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149,03-13-2020.csv,03-13-2020
Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874,03-13-2020.csv,03-13-2020
Guangxi,China,2020-03-13T11:09:03,252,2,243,23.8298,108.7881,03-13-2020.csv,03-13-2020
Shaanxi,China,2020-03-12T01:33:02,245,2,232,35.1917,108.8701,03-13-2020.csv,03-13-2020
Yunnan,China,2020-03-11T02:18:14,174,2,170,24.974,101.487,03-13-2020.csv,03-13-2020
Hainan,China,2020-03-12T03:53:02,168,6,160,19.1959,109.7453,03-13-2020.csv,03-13-2020
Guizhou,China,2020-03-13T11:09:03,146,2,140,26.8154,106.8748,03-13-2020.csv,03-13-2020
Tianjin,China,2020-03-12T01:53:03,136,3,132,39.3054,117.323,03-13-2020.csv,03-13-2020
Hong Kong,China,2020-03-13T13:33:03,134,4,77,22.3,114.2,03-13-2020.csv,03-13-2020
Shanxi,China,2020-03-13T11:09:03,133,0,133,37.5777,112.2922,03-13-2020.csv,03-13-2020
Gansu,China,2020-03-13T11:09:03,127,2,88,36.0611,103.8343,03-13-2020.csv,03-13-2020
Liaoning,China,2020-03-12T09:53:06,125,1,112,41.2956,122.6085,03-13-2020.csv,03-13-2020
Xinjiang,China,2020-03-11T02:18:14,76,3,73,41.1129,85.2401,03-13-2020.csv,03-13-2020
Inner Mongolia,China,2020-03-11T03:53:03,75,1,71,44.0935,113.9448,03-13-2020.csv,03-13-2020
Ningxia,China,2020-03-11T09:33:12,75,0,72,37.2692,106.1655,03-13-2020.csv,03-13-2020
Jilin,China,2020-03-13T11:09:03,93,1,91,43.6661,126.1923,03-13-2020.csv,03-13-2020
Qinghai,China,2020-03-11T02:18:14,18,0,18,35.7452,95.9956,03-13-2020.csv,03-13-2020
Macau,China,2020-03-11T18:52:03,10,0,10,22.1667,113.55,03-13-2020.csv,03-13-2020
Tibet,China,2020-03-11T02:18:14,1,0,1,31.6927,88.0924,03-13-2020.csv,03-13-2020
,Panama,2020-03-11T20:00:00,27,1,0,8.538,-80.7821,03-13-2020.csv,03-13-2020
Tasmania,Australia,2020-03-11T20:00:00,5,0,0,-41.4545,145.9707,03-13-2020.csv,03-13-2020
,Croatia,2020-03-11T20:00:00,32,0,1,45.1,15.2,03-13-2020.csv,03-13-2020
,Burkina Faso,2020-03-11T20:00:00,2,0,0,12.2383,-1.5616,03-13-2020.csv,03-13-2020
,Albania,2020-03-11T20:00:00,33,1,0,41.1533,20.1683,03-13-2020.csv,03-13-2020
British Columbia,Canada,2020-03-11T20:00:00,64,1,4,53.7267,-127.6476,03-13-2020.csv,03-13-2020
New South Wales,Australia,2020-03-11T20:00:00,92,2,4,-33.8688,151.2093,03-13-2020.csv,03-13-2020
Victoria,Australia,2020-03-11T20:00:00,36,0,8,-37.8136,144.9631,03-13-2020.csv,03-13-2020
Queensland,Australia,2020-03-11T20:00:00,35,0,8,-28.0167,153.4,03-13-2020.csv,03-13-2020
South Australia,Australia,2020-03-11T20:00:00,16,0,3,-34.9285,138.6007,03-13-2020.csv,03-13-2020
