"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","2020-02-15T23:13:05","56249","1596","5623","02-15-2020.csv"
"Guangdong","Mainland China","2020-02-15T14:03:04","1294","2","410","02-15-2020.csv"
"Henan","Mainland China","2020-02-15T12:13:08","1212","13","391","02-15-2020.csv"
"Zhejiang","Mainland China","2020-02-15T11:23:17","1162","0","428","02-15-2020.csv"
"Hunan","Mainland China","2020-02-15T13:03:04","1001","2","425","02-15-2020.csv"
"Anhui","Mainland China","2020-02-15T12:13:08","950","6","221","02-15-2020.csv"
"Jiangxi","Mainland China","2020-02-15T01:33:02","913","1","210","02-15-2020.csv"
"Jiangsu","Mainland China","2020-02-15T12:13:08","604","0","186","02-15-2020.csv"
"Chongqing","Mainland China","2020-02-15T23:23:07","544","5","184","02-15-2020.csv"
"Shandong","Mainland China","2020-02-15T11:23:17","532","2","156","02-15-2020.csv"
"Sichuan","Mainland China","2020-02-15T08:43:03","470","1","119","02-15-2020.csv"
"Heilongjiang","Mainland China","2020-02-15T11:43:01","425","11","68","02-15-2020.csv"
"Beijing","Mainland China","2020-02-15T09:53:01","375","4","98","02-15-2020.csv"
"Shanghai","Mainland China","2020-02-15T03:13:06","326","1","124","02-15-2020.csv"
"Hebei","Mainland China","2020-02-15T13:03:04","291","3","101","02-15-2020.csv"
"Fujian","Mainland China","2020-02-15T13:03:04","285","0","71","02-15-2020.csv"
"Diamond Princess cruise ship","Others","2020-02-15T17:03:04","285","0","0","02-15-2020.csv"
"Guangxi","Mainland China","2020-02-15T06:33:01","235","2","44","02-15-2020.csv"
"Shaanxi","Mainland China","2020-02-15T12:13:08","232","0","60","02-15-2020.csv"
"Yunnan","Mainland China","2020-02-15T06:33:01","168","0","42","02-15-2020.csv"
"Hainan","Mainland China","2020-02-15T11:23:17","162","4","39","02-15-2020.csv"
"Guizhou","Mainland China","2020-02-15T14:53:04","143","1","41","02-15-2020.csv"
"Shanxi","Mainland China","2020-02-15T23:13:05","128","0","46","02-15-2020.csv"
"Tianjin","Mainland China","2020-02-15T13:43:01","122","3","37","02-15-2020.csv"
"Liaoning","Mainland China","2020-02-15T09:53:01","119","1","31","02-15-2020.csv"
"Gansu","Mainland China","2020-02-15T12:13:08","90","2","49","02-15-2020.csv"
"Jilin","Mainland China","2020-02-15T12:13:08","88","1","26","02-15-2020.csv"
"","Singapore","2020-02-15T23:53:02","72","0","18","02-15-2020.csv"
"Ningxia","Mainland China","2020-02-15T08:43:03","70","0","33","02-15-2020.csv"
"Xinjiang","Mainland China","2020-02-15T09:53:01","70","1","10","02-15-2020.csv"
"Inner Mongolia","Mainland China","2020-02-15T14:03:04","68","0","7","02-15-2020.csv"
"Hong Kong","Hong Kong","2020-02-14T09:03:12","56","1","1","02-15-2020.csv"
"","Japan","2020-02-15T17:43:06","43","1","12","02-15-2020.csv"
"","Thailand","2020-02-13T17:53:03","33","0","12","02-15-2020.csv"
"","South Korea","2020-02-15T23:33:02","28","0","9","02-15-2020.csv"
"","Malaysia","2020-02-15T23:43:02","22","0","7","02-15-2020.csv"
"Qinghai","Mainland China","2020-02-15T08:43:03","18","0","13","02-15-2020.csv"
"Taiwan","Taiwan","2020-02-15T03:43:02","18","0","2","02-15-2020.csv"
"","Germany","2020-02-13T15:13:11","16","0","1","02-15-2020.csv"
"","Vietnam","2020-02-13T06:33:02","16","0","7","02-15-2020.csv"
"","France","2020-02-15T20:53:02","12","1","4","02-15-2020.csv"
"Macau","Macau","2020-02-13T14:13:06","10","0","3","02-15-2020.csv"
"","UK","2020-02-12T19:03:06","9","0","1","02-15-2020.csv"
"","United Arab Emirates","2020-02-15T06:03:03","8","0","3","02-15-2020.csv"
"Queensland","Australia","2020-02-09T19:33:02","5","0","0","02-15-2020.csv"
"New South Wales","Australia","2020-02-13T17:53:03","4","0","4","02-15-2020.csv"
"Victoria","Australia","2020-02-13T17:53:03","4","0","4","02-15-2020.csv"
"British Columbia","Canada","2020-02-07T05:43:03","4","0","0","02-15-2020.csv"
"","India","2020-02-13T18:53:02","3","0","0","02-15-2020.csv"
"","Italy","2020-02-07T17:53:02","3","0","0","02-15-2020.csv"
"","Philippines","2020-02-12T07:43:02","3","1","1","02-15-2020.csv"
"South Australia","Australia","2020-02-02T22:33:07","2","0","0","02-15-2020.csv"
"Toronto, ON","Canada","2020-02-04T00:13:06","2","0","0","02-15-2020.csv"
"","Russia","2020-02-12T14:43:03","2","0","2","02-15-2020.csv"
"","Spain","2020-02-15T17:23:04","2","0","2","02-15-2020.csv"
"Chicago, IL","US","2020-02-09T19:03:03","2","0","2","02-15-2020.csv"
"San Benito, CA","US","2020-02-03T03:53:02","2","0","0","02-15-2020.csv"
"San Diego County, CA","US","2020-02-13T03:13:08","2","0","0","02-15-2020.csv"
"Santa Clara, CA","US","2020-02-03T00:43:02","2","0","0","02-15-2020.csv"
"","Belgium","2020-02-04T15:43:02","1","0","0","02-15-2020.csv"
"","Cambodia","2020-02-12T07:43:02","1","0","1","02-15-2020.csv"
"London, ON","Canada","2020-02-12T18:53:03","1","0","1","02-15-2020.csv"
"","Egypt","2020-02-14T23:53:02","1","0","0","02-15-2020.csv"
"","Finland","2020-02-12T00:03:12","1","0","1","02-15-2020.csv"
"Tibet","Mainland China","2020-02-12T06:43:02","1","0","1","02-15-2020.csv"
"","Nepal","2020-02-12T14:43:03","1","0","1","02-15-2020.csv"
"","Sri Lanka","2020-02-08T03:43:03","1","0","1","02-15-2020.csv"
"","Sweden","2020-02-01T02:13:26","1","0","0","02-15-2020.csv"
"Boston, MA","US","2020-02-01T19:43:03","1","0","0","02-15-2020.csv"
"Los Angeles, CA","US","2020-02-01T19:53:03","1","0","0","02-15-2020.csv"
"Madison, WI","US","2020-02-05T21:53:02","1","0","0","02-15-2020.csv"
"Orange, CA","US","2020-02-01T19:53:03","1","0","0","02-15-2020.csv"
"San Antonio, TX","US","2020-02-13T18:53:02","1","0","0","02-15-2020.csv"
"Seattle, WA","US","2020-02-09T07:03:04","1","0","1","02-15-2020.csv"
"Tempe, AZ","US","2020-02-01T19:43:03","1","0","0","02-15-2020.csv"
