"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","2020-02-08T23:33:06","27100","780","1439","02-08-2020.csv"
"Guangdong","Mainland China","2020-02-08T11:53:01","1095","1","112","02-08-2020.csv"
"Zhejiang","Mainland China","2020-02-08T10:53:02","1048","0","175","02-08-2020.csv"
"Henan","Mainland China","2020-02-08T14:13:12","981","4","116","02-08-2020.csv"
"Hunan","Mainland China","2020-02-08T12:53:01","803","1","156","02-08-2020.csv"
"Anhui","Mainland China","2020-02-08T07:43:02","733","0","59","02-08-2020.csv"
"Jiangxi","Mainland China","2020-02-08T01:23:02","698","0","55","02-08-2020.csv"
"Jiangsu","Mainland China","2020-02-08T10:23:04","439","0","51","02-08-2020.csv"
"Chongqing","Mainland China","2020-02-08T11:03:15","428","2","39","02-08-2020.csv"
"Shandong","Mainland China","2020-02-08T11:33:02","416","0","44","02-08-2020.csv"
"Sichuan","Mainland China","2020-02-08T15:23:04","364","1","60","02-08-2020.csv"
"Beijing","Mainland China","2020-02-08T03:13:09","315","2","34","02-08-2020.csv"
"Heilongjiang","Mainland China","2020-02-08T04:03:09","295","5","13","02-08-2020.csv"
"Shanghai","Mainland China","2020-02-08T06:33:02","286","1","41","02-08-2020.csv"
"Fujian","Mainland China","2020-02-08T08:13:10","239","0","24","02-08-2020.csv"
"Hebei","Mainland China","2020-02-08T11:33:02","195","1","30","02-08-2020.csv"
"Shaanxi","Mainland China","2020-02-08T10:13:06","195","0","20","02-08-2020.csv"
"Guangxi","Mainland China","2020-02-08T00:23:03","183","0","17","02-08-2020.csv"
"Yunnan","Mainland China","2020-02-08T08:43:02","138","0","17","02-08-2020.csv"
"Hainan","Mainland China","2020-02-08T10:23:04","124","2","14","02-08-2020.csv"
"Shanxi","Mainland China","2020-02-08T23:53:02","115","0","21","02-08-2020.csv"
"Liaoning","Mainland China","2020-02-08T11:53:01","105","0","8","02-08-2020.csv"
"Guizhou","Mainland China","2020-02-08T06:43:03","89","1","7","02-08-2020.csv"
"Tianjin","Mainland China","2020-02-08T08:23:04","88","1","4","02-08-2020.csv"
"Gansu","Mainland China","2020-02-08T15:13:14","79","1","12","02-08-2020.csv"
"Jilin","Mainland China","2020-02-08T00:13:04","69","1","4","02-08-2020.csv"
"Cruise Ship","Others","2020-02-07T16:33:03","61","0","0","02-08-2020.csv"
"Inner Mongolia","Mainland China","2020-02-08T03:33:02","52","0","5","02-08-2020.csv"
"Ningxia","Mainland China","2020-02-08T09:13:16","45","0","15","02-08-2020.csv"
"Xinjiang","Mainland China","2020-02-08T03:23:10","42","0","0","02-08-2020.csv"
"","Singapore","2020-02-08T12:53:01","33","0","2","02-08-2020.csv"
"","Thailand","2020-02-08T12:53:01","32","0","10","02-08-2020.csv"
"Hong Kong","Hong Kong","2020-02-08T00:03:07","26","1","0","02-08-2020.csv"
"","Japan","2020-02-07T04:13:20","25","0","1","02-08-2020.csv"
"","South Korea","2020-02-07T03:03:03","24","0","1","02-08-2020.csv"
"Qinghai","Mainland China","2020-02-06T02:13:15","18","0","3","02-08-2020.csv"
"Taiwan","Taiwan","2020-02-08T05:23:02","17","0","1","02-08-2020.csv"
"","Malaysia","2020-02-08T10:23:04","16","0","1","02-08-2020.csv"
"","Germany","2020-02-07T16:33:03","13","0","0","02-08-2020.csv"
"","Vietnam","2020-02-08T07:23:04","13","0","1","02-08-2020.csv"
"","France","2020-02-08T09:53:01","11","0","0","02-08-2020.csv"
"Macau","Macau","2020-02-06T14:23:04","10","0","1","02-08-2020.csv"
"","United Arab Emirates","2020-02-08T07:03:16","7","0","0","02-08-2020.csv"
"Queensland","Australia","2020-02-07T01:03:02","5","0","0","02-08-2020.csv"
"New South Wales","Australia","2020-02-06T03:13:22","4","0","2","02-08-2020.csv"
"Victoria","Australia","2020-02-01T18:12:49","4","0","0","02-08-2020.csv"
"British Columbia","Canada","2020-02-07T05:43:03","4","0","0","02-08-2020.csv"
"","India","2020-02-03T21:43:02","3","0","0","02-08-2020.csv"
"","Italy","2020-02-07T17:53:02","3","0","0","02-08-2020.csv"
"","Philippines","2020-02-07T16:43:04","3","1","0","02-08-2020.csv"
"","UK","2020-02-07T18:33:02","3","0","0","02-08-2020.csv"
"South Australia","Australia","2020-02-02T22:33:07","2","0","0","02-08-2020.csv"
"Toronto, ON","Canada","2020-02-04T00:13:06","2","0","0","02-08-2020.csv"
"","Russia","2020-01-31T16:13:45","2","0","0","02-08-2020.csv"
"Chicago, IL","US","2020-02-01T19:43:03","2","0","0","02-08-2020.csv"
"San Benito, CA","US","2020-02-03T03:53:02","2","0","0","02-08-2020.csv"
"Santa Clara, CA","US","2020-02-03T00:43:02","2","0","0","02-08-2020.csv"
"","Belgium","2020-02-04T15:43:02","1","0","0","02-08-2020.csv"
"","Cambodia","2020-01-31T08:15:53","1","0","0","02-08-2020.csv"
"London, ON","Canada","2020-02-04T00:03:11","1","0","0","02-08-2020.csv"
"","Finland","2020-01-31T08:15:53","1","0","0","02-08-2020.csv"
"Tibet","Mainland China","2020-02-01T01:52:40","1","0","0","02-08-2020.csv"
"","Nepal","2020-01-31T08:15:53","1","0","0","02-08-2020.csv"
"","Spain","2020-02-01T23:43:02","1","0","0","02-08-2020.csv"
"","Sri Lanka","2020-02-08T03:43:03","1","0","1","02-08-2020.csv"
