Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,1/27/20 23:59,1423,76,45,01-27-2020.csv,01-27-2020
Guangdong,Mainland China,1/27/20 23:59,151,,4,01-27-2020.csv,01-27-2020
Zhejiang,Mainland China,1/27/20 23:59,128,,1,01-27-2020.csv,01-27-2020
Henan,Mainland China,1/27/20 23:59,128,1,,01-27-2020.csv,01-27-2020
Chongqing,Mainland China,1/27/20 23:59,110,,,01-27-2020.csv,01-27-2020
Hunan,Mainland China,1/27/20 23:59,100,,,01-27-2020.csv,01-27-2020
Beijing,Mainland China,1/27/20 23:59,80,1,2,01-27-2020.csv,01-27-2020
Shandong,Mainland China,1/27/20 23:59,75,,,01-27-2020.csv,01-27-2020
Jiangxi,Mainland China,1/27/20 23:59,72,,2,01-27-2020.csv,01-27-2020
Anhui,Mainland China,1/27/20 23:59,70,,,01-27-2020.csv,01-27-2020
Sichuan,Mainland China,1/27/20 23:59,69,,,01-27-2020.csv,01-27-2020
Fujian,Mainland China,1/27/20 23:59,59,,,01-27-2020.csv,01-27-2020
Shanghai,Mainland China,1/27/20 23:59,53,1,3,01-27-2020.csv,01-27-2020
Jiangsu,Mainland China,1/27/20 23:59,47,,1,01-27-2020.csv,01-27-2020
Guangxi,Mainland China,1/27/20 23:59,46,,,01-27-2020.csv,01-27-2020
Shaanxi,Mainland China,1/27/20 23:59,35,,,01-27-2020.csv,01-27-2020
Hainan,Mainland China,1/27/20 23:59,33,1,,01-27-2020.csv,01-27-2020
Liaoning,Mainland China,1/27/20 23:59,27,,,01-27-2020.csv,01-27-2020
Yunnan,Mainland China,1/27/20 23:59,26,,,01-27-2020.csv,01-27-2020
Tianjin,Mainland China,1/27/20 23:59,23,,,01-27-2020.csv,01-27-2020
Heilongjiang,Mainland China,1/27/20 23:59,21,1,,01-27-2020.csv,01-27-2020
Hebei,Mainland China,1/27/20 23:59,18,1,,01-27-2020.csv,01-27-2020
Gansu,Mainland China,1/27/20 23:59,14,,,01-27-2020.csv,01-27-2020
Shanxi,Mainland China,1/27/20 23:59,13,,,01-27-2020.csv,01-27-2020
Inner Mongolia,Mainland China,1/27/20 23:59,11,,,01-27-2020.csv,01-27-2020
Hong Kong,Hong Kong,1/27/20 23:59,8,,,01-27-2020.csv,01-27-2020
Guizhou,Mainland China,1/27/20 23:59,7,,,01-27-2020.csv,01-27-2020
Ningxia,Mainland China,1/27/20 23:59,7,,,01-27-2020.csv,01-27-2020
Jilin,Mainland China,1/27/20 23:59,6,,,01-27-2020.csv,01-27-2020
Macau,Macau,1/27/20 23:59,6,,,01-27-2020.csv,01-27-2020
Qinghai,Mainland China,1/27/20 23:59,6,,,01-27-2020.csv,01-27-2020
Taiwan,Taiwan,1/27/20 23:59,5,,,01-27-2020.csv,01-27-2020
Xinjiang,Mainland China,1/27/20 23:59,5,,,01-27-2020.csv,01-27-2020
Washington,US,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
Illinois,US,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
California,US,1/27/20 23:59,2,,,01-27-2020.csv,01-27-2020
Arizona,US,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
,Japan,1/27/20 23:59,4,,1,01-27-2020.csv,01-27-2020
,Thailand,1/27/20 23:59,8,,2,01-27-2020.csv,01-27-2020
,South Korea,1/27/20 23:59,4,,,01-27-2020.csv,01-27-2020
,Singapore,1/27/20 23:59,5,,,01-27-2020.csv,01-27-2020
,Vietnam,1/27/20 23:59,2,,,01-27-2020.csv,01-27-2020
,France,1/27/20 23:59,3,,,01-27-2020.csv,01-27-2020
,Nepal,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
,Malaysia,1/27/20 23:59,4,,,01-27-2020.csv,01-27-2020
Ontario,Canada,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
,Cambodia,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
,Sri Lanka,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
,Ivory Coast,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
New South Wales,Australia,1/27/20 23:59,4,,,01-27-2020.csv,01-27-2020
Victoria,Australia,1/27/20 23:59,1,,,01-27-2020.csv,01-27-2020
