Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,2020-02-10T23:33:02,31728,974,2222,02-10-2020.csv,02-10-2020
Guangdong,Mainland China,2020-02-10T13:43:02,1159,1,167,02-10-2020.csv,02-10-2020
Zhejiang,Mainland China,2020-02-10T14:13:12,1092,0,242,02-10-2020.csv,02-10-2020
Henan,Mainland China,2020-02-10T13:53:02,1073,6,191,02-10-2020.csv,02-10-2020
Hunan,Mainland China,2020-02-10T13:53:02,879,1,208,02-10-2020.csv,02-10-2020
Anhui,Mainland China,2020-02-10T07:23:04,830,3,88,02-10-2020.csv,02-10-2020
Jiangxi,Mainland China,2020-02-10T13:53:02,771,1,105,02-10-2020.csv,02-10-2020
Jiangsu,Mainland China,2020-02-10T14:03:05,492,0,81,02-10-2020.csv,02-10-2020
Chongqing,Mainland China,2020-02-10T23:43:02,486,2,66,02-10-2020.csv,02-10-2020
Shandong,Mainland China,2020-02-10T09:33:02,466,1,66,02-10-2020.csv,02-10-2020
Sichuan,Mainland China,2020-02-10T10:03:02,405,1,80,02-10-2020.csv,02-10-2020
Beijing,Mainland China,2020-02-10T03:13:08,337,2,44,02-10-2020.csv,02-10-2020
Heilongjiang,Mainland China,2020-02-10T07:33:05,331,7,30,02-10-2020.csv,02-10-2020
Shanghai,Mainland China,2020-02-10T06:03:13,299,1,48,02-10-2020.csv,02-10-2020
Fujian,Mainland China,2020-02-10T14:03:05,261,0,39,02-10-2020.csv,02-10-2020
Hebei,Mainland China,2020-02-10T10:03:02,218,2,41,02-10-2020.csv,02-10-2020
Shaanxi,Mainland China,2020-02-10T13:23:06,213,0,30,02-10-2020.csv,02-10-2020
Guangxi,Mainland China,2020-02-10T14:03:05,210,1,24,02-10-2020.csv,02-10-2020
Yunnan,Mainland China,2020-02-10T09:43:02,149,0,19,02-10-2020.csv,02-10-2020
Hainan,Mainland China,2020-02-10T09:33:02,138,3,19,02-10-2020.csv,02-10-2020
Diamond Princess cruise ship,Others,2020-02-10T16:03:12,135,0,0,02-10-2020.csv,02-10-2020
Shanxi,Mainland China,2020-02-09T23:43:02,119,0,25,02-10-2020.csv,02-10-2020
Guizhou,Mainland China,2020-02-10T12:33:02,109,1,10,02-10-2020.csv,02-10-2020
Liaoning,Mainland China,2020-02-10T14:03:05,108,0,13,02-10-2020.csv,02-10-2020
Tianjin,Mainland China,2020-02-10T14:23:08,95,1,8,02-10-2020.csv,02-10-2020
Gansu,Mainland China,2020-02-10T07:23:04,83,2,17,02-10-2020.csv,02-10-2020
Jilin,Mainland China,2020-02-10T14:03:05,80,1,13,02-10-2020.csv,02-10-2020
Inner Mongolia,Mainland China,2020-02-10T02:43:05,58,0,5,02-10-2020.csv,02-10-2020
Ningxia,Mainland China,2020-02-10T01:43:02,49,0,13,02-10-2020.csv,02-10-2020
Xinjiang,Mainland China,2020-02-10T01:13:06,49,0,0,02-10-2020.csv,02-10-2020
,Singapore,2020-02-10T19:03:02,45,0,2,02-10-2020.csv,02-10-2020
Hong Kong,Hong Kong,2020-02-10T10:13:06,38,1,0,02-10-2020.csv,02-10-2020
,Thailand,2020-02-08T12:53:01,32,0,10,02-10-2020.csv,02-10-2020
,South Korea,2020-02-10T03:03:09,27,0,3,02-10-2020.csv,02-10-2020
,Japan,2020-02-10T21:33:02,26,0,4,02-10-2020.csv,02-10-2020
Qinghai,Mainland China,2020-02-06T02:13:15,18,0,3,02-10-2020.csv,02-10-2020
,Malaysia,2020-02-10T03:03:09,18,0,1,02-10-2020.csv,02-10-2020
Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1,02-10-2020.csv,02-10-2020
,Germany,2020-02-09T06:13:11,14,0,0,02-10-2020.csv,02-10-2020
,Vietnam,2020-02-10T03:03:09,14,0,1,02-10-2020.csv,02-10-2020
,France,2020-02-08T09:53:01,11,0,0,02-10-2020.csv,02-10-2020
Macau,Macau,2020-02-06T14:23:04,10,0,1,02-10-2020.csv,02-10-2020
,UK,2020-02-10T19:03:02,8,0,0,02-10-2020.csv,02-10-2020
,United Arab Emirates,2020-02-10T23:03:09,8,0,0,02-10-2020.csv,02-10-2020
