Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,2020-02-03T23:23:03,13522,414,386,02-03-2020.csv,02-03-2020
Guangdong,Mainland China,2020-02-03T12:53:02,725,0,21,02-03-2020.csv,02-03-2020
Zhejiang,Mainland China,2020-02-03T13:33:02,724,0,43,02-03-2020.csv,02-03-2020
Henan,Mainland China,2020-02-03T17:11:34,566,2,16,02-03-2020.csv,02-03-2020
Hunan,Mainland China,2020-02-03T11:03:10,521,0,22,02-03-2020.csv,02-03-2020
Anhui,Mainland China,2020-02-03T17:11:34,408,0,14,02-03-2020.csv,02-03-2020
Jiangxi,Mainland China,2020-02-03T01:33:02,391,0,18,02-03-2020.csv,02-03-2020
Chongqing,Mainland China,2020-02-03T23:43:02,337,2,9,02-03-2020.csv,02-03-2020
Jiangsu,Mainland China,2020-02-03T11:03:10,271,0,8,02-03-2020.csv,02-03-2020
Shandong,Mainland China,2020-02-03T17:11:34,259,0,7,02-03-2020.csv,02-03-2020
Sichuan,Mainland China,2020-02-03T11:23:23,254,1,14,02-03-2020.csv,02-03-2020
Beijing,Mainland China,2020-02-03T09:23:05,212,1,12,02-03-2020.csv,02-03-2020
Shanghai,Mainland China,2020-02-03T07:03:12,203,1,10,02-03-2020.csv,02-03-2020
Fujian,Mainland China,2020-02-03T11:33:13,179,0,1,02-03-2020.csv,02-03-2020
Shaanxi,Mainland China,2020-02-03T02:33:02,128,0,0,02-03-2020.csv,02-03-2020
Guangxi,Mainland China,2020-02-03T12:33:02,127,0,7,02-03-2020.csv,02-03-2020
Heilongjiang,Mainland China,2020-02-03T07:13:19,121,2,2,02-03-2020.csv,02-03-2020
Yunnan,Mainland China,2020-02-03T23:23:03,117,0,5,02-03-2020.csv,02-03-2020
Hebei,Mainland China,2020-02-03T00:23:14,113,1,3,02-03-2020.csv,02-03-2020
Liaoning,Mainland China,2020-02-03T17:11:34,74,0,1,02-03-2020.csv,02-03-2020
Shanxi,Mainland China,2020-02-03T23:13:11,74,0,2,02-03-2020.csv,02-03-2020
Hainan,Mainland China,2020-02-03T17:11:34,72,1,4,02-03-2020.csv,02-03-2020
Tianjin,Mainland China,2020-02-03T13:53:03,60,0,1,02-03-2020.csv,02-03-2020
Gansu,Mainland China,2020-02-03T23:03:08,55,0,3,02-03-2020.csv,02-03-2020
Guizhou,Mainland China,2020-02-03T01:03:22,46,0,2,02-03-2020.csv,02-03-2020
Inner Mongolia,Mainland China,2020-02-03T03:03:09,34,0,1,02-03-2020.csv,02-03-2020
Jilin,Mainland China,2020-02-03T00:53:03,31,0,1,02-03-2020.csv,02-03-2020
Ningxia,Mainland China,2020-02-03T08:33:03,31,0,1,02-03-2020.csv,02-03-2020
Xinjiang,Mainland China,2020-02-03T01:13:21,24,0,0,02-03-2020.csv,02-03-2020
,Japan,2020-02-01T18:53:03,20,0,1,02-03-2020.csv,02-03-2020
,Thailand,2020-01-31T10:37:00,19,0,5,02-03-2020.csv,02-03-2020
,Singapore,2020-02-02T01:03:32,18,0,0,02-03-2020.csv,02-03-2020
Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0,02-03-2020.csv,02-03-2020
,South Korea,2020-02-02T02:23:13,15,0,0,02-03-2020.csv,02-03-2020
Qinghai,Mainland China,2020-02-03T02:43:01,13,0,0,02-03-2020.csv,02-03-2020
,Germany,2020-02-03T20:53:02,12,0,0,02-03-2020.csv,02-03-2020
Taiwan,Taiwan,2020-01-31T15:20:56,10,0,0,02-03-2020.csv,02-03-2020
Macau,Macau,2020-02-02T04:23:14,8,0,0,02-03-2020.csv,02-03-2020
,Malaysia,2020-01-31T08:15:53,8,0,0,02-03-2020.csv,02-03-2020
,Vietnam,2020-02-03T21:43:02,8,0,1,02-03-2020.csv,02-03-2020
,France,2020-02-01T01:52:40,6,0,0,02-03-2020.csv,02-03-2020
,United Arab Emirates,2020-02-02T05:43:01,5,0,0,02-03-2020.csv,02-03-2020
New South Wales,Australia,2020-02-01T18:12:49,4,0,2,02-03-2020.csv,02-03-2020
Victoria,Australia,2020-02-01T18:12:49,4,0,0,02-03-2020.csv,02-03-2020
Ontario,Canada,2020-02-01T18:12:49,3,0,0,02-03-2020.csv,02-03-2020
,India,2020-02-03T21:43:02,3,0,0,02-03-2020.csv,02-03-2020
Queensland,Australia,2020-02-02T22:33:07,2,0,0,02-03-2020.csv,02-03-2020
South Australia,Australia,2020-02-02T22:33:07,2,0,0,02-03-2020.csv,02-03-2020
,Italy,2020-01-31T08:15:53,2,0,0,02-03-2020.csv,02-03-2020
