Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,1/26/20 16:00,1058,52,42,01-26-2020.csv,01-26-2020
Guangdong,Mainland China,1/26/20 16:00,111,,2,01-26-2020.csv,01-26-2020
Zhejiang,Mainland China,1/26/20 16:00,104,,1,01-26-2020.csv,01-26-2020
Henan,Mainland China,1/26/20 16:00,83,1,,01-26-2020.csv,01-26-2020
Chongqing,Mainland China,1/26/20 16:00,75,,,01-26-2020.csv,01-26-2020
Hunan,Mainland China,1/26/20 16:00,69,,,01-26-2020.csv,01-26-2020
Beijing,Mainland China,1/26/20 16:00,68,,2,01-26-2020.csv,01-26-2020
Anhui,Mainland China,1/26/20 16:00,60,,,01-26-2020.csv,01-26-2020
Shandong,Mainland China,1/26/20 16:00,46,,,01-26-2020.csv,01-26-2020
Sichuan,Mainland China,1/26/20 16:00,44,,,01-26-2020.csv,01-26-2020
Shanghai,Mainland China,1/26/20 16:00,40,1,1,01-26-2020.csv,01-26-2020
Guangxi,Mainland China,1/26/20 16:00,36,,,01-26-2020.csv,01-26-2020
Jiangxi,Mainland China,1/26/20 16:00,36,,,01-26-2020.csv,01-26-2020
Fujian,Mainland China,1/26/20 16:00,35,,,01-26-2020.csv,01-26-2020
Jiangsu,Mainland China,1/26/20 16:00,33,,1,01-26-2020.csv,01-26-2020
Hainan,Mainland China,1/26/20 16:00,22,,,01-26-2020.csv,01-26-2020
Shaanxi,Mainland China,1/26/20 16:00,22,,,01-26-2020.csv,01-26-2020
Liaoning,Mainland China,1/26/20 16:00,21,,,01-26-2020.csv,01-26-2020
Yunnan,Mainland China,1/26/20 16:00,16,,,01-26-2020.csv,01-26-2020
Heilongjiang,Mainland China,1/26/20 16:00,15,1,,01-26-2020.csv,01-26-2020
Tianjin,Mainland China,1/26/20 16:00,14,,,01-26-2020.csv,01-26-2020
Hebei,Mainland China,1/26/20 16:00,13,1,,01-26-2020.csv,01-26-2020
Shanxi,Mainland China,1/26/20 16:00,9,,,01-26-2020.csv,01-26-2020
Hong Kong,Hong Kong,1/26/20 16:00,8,,,01-26-2020.csv,01-26-2020
Inner Mongolia,Mainland China,1/26/20 16:00,7,,,01-26-2020.csv,01-26-2020
Gansu,Mainland China,1/26/20 16:00,7,,,01-26-2020.csv,01-26-2020
Guizhou,Mainland China,1/26/20 16:00,5,,,01-26-2020.csv,01-26-2020
Macau,Macau,1/26/20 16:00,5,,,01-26-2020.csv,01-26-2020
Ningxia,Mainland China,1/26/20 16:00,4,,,01-26-2020.csv,01-26-2020
Jilin,Mainland China,1/26/20 16:00,4,,,01-26-2020.csv,01-26-2020
Taiwan,Taiwan,1/26/20 16:00,4,,,01-26-2020.csv,01-26-2020
Xinjiang,Mainland China,1/26/20 16:00,4,,,01-26-2020.csv,01-26-2020
Qinghai,Mainland China,1/26/20 16:00,1,,,01-26-2020.csv,01-26-2020
Washington,US,1/26/20 16:00,1,,,01-26-2020.csv,01-26-2020
Illinois,US,1/26/20 16:00,1,,,01-26-2020.csv,01-26-2020
California,US,1/26/20 16:00,2,,,01-26-2020.csv,01-26-2020
Arizona,US,1/26/20 16:00,1,,,01-26-2020.csv,01-26-2020
,Japan,1/26/20 16:00,4,,1,01-26-2020.csv,01-26-2020
,Thailand,1/26/20 16:00,8,,2,01-26-2020.csv,01-26-2020
,South Korea,1/26/20 16:00,3,,,01-26-2020.csv,01-26-2020
,Singapore,1/26/20 16:00,4,,,01-26-2020.csv,01-26-2020
,Vietnam,1/26/20 16:00,2,,,01-26-2020.csv,01-26-2020
,France,1/26/20 16:00,3,,,01-26-2020.csv,01-26-2020
,Australia,1/26/20 16:00,4,,,01-26-2020.csv,01-26-2020
,Nepal,1/26/20 16:00,1,,,01-26-2020.csv,01-26-2020
,Malaysia,1/26/20 16:00,4,,,01-26-2020.csv,01-26-2020
Ontario,Canada,1/26/20 16:00,1,,,01-26-2020.csv,01-26-2020
