"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","2020-02-17T23:13:06","59989","1789","7862","02-17-2020.csv"
"Guangdong","Mainland China","2020-02-17T12:43:02","1322","4","524","02-17-2020.csv"
"Henan","Mainland China","2020-02-17T14:53:02","1246","16","509","02-17-2020.csv"
"Zhejiang","Mainland China","2020-02-17T11:23:06","1171","0","507","02-17-2020.csv"
"Hunan","Mainland China","2020-02-17T11:43:01","1006","3","498","02-17-2020.csv"
"Anhui","Mainland China","2020-02-17T09:13:07","973","6","280","02-17-2020.csv"
"Jiangxi","Mainland China","2020-02-17T01:33:02","930","1","275","02-17-2020.csv"
"Jiangsu","Mainland China","2020-02-17T10:23:04","626","0","258","02-17-2020.csv"
"Chongqing","Mainland China","2020-02-17T23:13:06","553","5","225","02-17-2020.csv"
"Shandong","Mainland China","2020-02-17T11:03:06","541","2","191","02-17-2020.csv"
"Sichuan","Mainland China","2020-02-17T13:13:09","495","3","156","02-17-2020.csv"
"Heilongjiang","Mainland China","2020-02-17T08:03:06","457","11","85","02-17-2020.csv"
"Diamond Princess cruise ship","Others","2020-02-17T14:33:04","454","0","0","02-17-2020.csv"
"Beijing","Mainland China","2020-02-17T01:23:02","381","4","114","02-17-2020.csv"
"Shanghai","Mainland China","2020-02-17T23:53:02","333","1","161","02-17-2020.csv"
"Hebei","Mainland China","2020-02-17T13:03:06","301","3","122","02-17-2020.csv"
"Fujian","Mainland China","2020-02-17T10:23:04","290","0","90","02-17-2020.csv"
"Shaanxi","Mainland China","2020-02-17T11:43:01","240","0","79","02-17-2020.csv"
"Guangxi","Mainland China","2020-02-17T10:23:04","238","2","53","02-17-2020.csv"
"Yunnan","Mainland China","2020-02-17T10:23:04","171","0","47","02-17-2020.csv"
"Hainan","Mainland China","2020-02-17T11:03:06","163","4","59","02-17-2020.csv"
"Guizhou","Mainland China","2020-02-17T11:13:16","146","1","57","02-17-2020.csv"
"Shanxi","Mainland China","2020-02-17T22:53:01","130","0","53","02-17-2020.csv"
"Tianjin","Mainland China","2020-02-17T12:43:02","125","3","46","02-17-2020.csv"
"Liaoning","Mainland China","2020-02-17T11:13:16","121","1","43","02-17-2020.csv"
"Gansu","Mainland China","2020-02-17T14:53:02","91","2","58","02-17-2020.csv"
"Jilin","Mainland China","2020-02-17T11:03:06","89","1","34","02-17-2020.csv"
"","Singapore","2020-02-17T14:33:04","77","0","24","02-17-2020.csv"
"Xinjiang","Mainland China","2020-02-17T01:53:01","75","1","12","02-17-2020.csv"
"Inner Mongolia","Mainland China","2020-02-17T02:03:06","72","0","8","02-17-2020.csv"
"Ningxia","Mainland China","2020-02-17T11:03:06","70","0","35","02-17-2020.csv"
"","Japan","2020-02-17T14:33:04","66","1","12","02-17-2020.csv"
"Hong Kong","Hong Kong","2020-02-17T22:53:01","60","1","2","02-17-2020.csv"
"","Thailand","2020-02-17T07:33:02","35","0","15","02-17-2020.csv"
"","South Korea","2020-02-17T23:43:01","30","0","10","02-17-2020.csv"
"","Malaysia","2020-02-15T23:43:02","22","0","7","02-17-2020.csv"
"Taiwan","Taiwan","2020-02-17T15:43:02","22","1","2","02-17-2020.csv"
"Qinghai","Mainland China","2020-02-15T08:43:03","18","0","13","02-17-2020.csv"
"","Germany","2020-02-13T15:13:11","16","0","1","02-17-2020.csv"
"","Vietnam","2020-02-13T06:33:02","16","0","7","02-17-2020.csv"
"","France","2020-02-15T20:53:02","12","1","4","02-17-2020.csv"
"Macau","Macau","2020-02-16T12:03:06","10","0","5","02-17-2020.csv"
"","UK","2020-02-16T16:23:06","9","0","8","02-17-2020.csv"
"","United Arab Emirates","2020-02-16T20:43:02","9","0","4","02-17-2020.csv"
"Queensland","Australia","2020-02-09T19:33:02","5","0","0","02-17-2020.csv"
"British Columbia","Canada","2020-02-17T08:03:07","5","0","0","02-17-2020.csv"
"New South Wales","Australia","2020-02-13T17:53:03","4","0","4","02-17-2020.csv"
"Victoria","Australia","2020-02-13T17:53:03","4","0","4","02-17-2020.csv"
"","India","2020-02-16T07:43:02","3","0","3","02-17-2020.csv"
"","Italy","2020-02-07T17:53:02","3","0","0","02-17-2020.csv"
"","Philippines","2020-02-12T07:43:02","3","1","1","02-17-2020.csv"
"South Australia","Australia","2020-02-17T08:13:09","2","0","2","02-17-2020.csv"
"Toronto, ON","Canada","2020-02-04T00:13:06","2","0","0","02-17-2020.csv"
"","Russia","2020-02-12T14:43:03","2","0","2","02-17-2020.csv"
"","Spain","2020-02-15T17:23:04","2","0","2","02-17-2020.csv"
"Chicago, IL","US","2020-02-09T19:03:03","2","0","2","02-17-2020.csv"
"San Benito, CA","US","2020-02-03T03:53:02","2","0","0","02-17-2020.csv"
"San Diego County, CA","US","2020-02-13T03:13:08","2","0","0","02-17-2020.csv"
"Santa Clara, CA","US","2020-02-03T00:43:02","2","0","0","02-17-2020.csv"
"","Belgium","2020-02-17T04:23:06","1","0","1","02-17-2020.csv"
"","Cambodia","2020-02-12T07:43:02","1","0","1","02-17-2020.csv"
"London, ON","Canada","2020-02-12T18:53:03","1","0","1","02-17-2020.csv"
"","Egypt","2020-02-14T23:53:02","1","0","0","02-17-2020.csv"
"","Finland","2020-02-12T00:03:12","1","0","1","02-17-2020.csv"
"Tibet","Mainland China","2020-02-12T06:43:02","1","0","1","02-17-2020.csv"
"","Nepal","2020-02-12T14:43:03","1","0","1","02-17-2020.csv"
"","Sri Lanka","2020-02-08T03:43:03","1","0","1","02-17-2020.csv"
"","Sweden","2020-02-01T02:13:26","1","0","0","02-17-2020.csv"
"Boston, MA","US","2020-02-01T19:43:03","1","0","0","02-17-2020.csv"
"Los Angeles, CA","US","2020-02-01T19:53:03","1","0","0","02-17-2020.csv"
"Madison, WI","US","2020-02-05T21:53:02","1","0","0","02-17-2020.csv"
"Orange, CA","US","2020-02-01T19:53:03","1","0","0","02-17-2020.csv"
"San Antonio, TX","US","2020-02-13T18:53:02","1","0","0","02-17-2020.csv"
"Seattle, WA","US","2020-02-09T07:03:04","1","0","1","02-17-2020.csv"
"Tempe, AZ","US","2020-02-01T19:43:03","1","0","0","02-17-2020.csv"
