"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude","CSV File Name"
"Hubei","China","2020-03-17T11:53:10","67799","3111","56003","30.9756","112.2707","03-17-2020.csv"
"","Italy","2020-03-17T18:33:02","31506","2503","2941","41.8719","12.5674","03-17-2020.csv"
"","Iran","2020-03-17T15:13:09","16169","988","5389","32.4279","53.6880","03-17-2020.csv"
"","Spain","2020-03-17T20:53:02","11748","533","1028","40.4637","-3.7492","03-17-2020.csv"
"","Germany","2020-03-17T18:53:02","9257","24","67","51.1657","10.4515","03-17-2020.csv"
"","Korea, South","2020-03-17T10:33:03","8320","81","1407","35.9078","127.7669","03-17-2020.csv"
"France","France","2020-03-17T19:13:08","7652","148","12","46.2276","2.2137","03-17-2020.csv"
"","Switzerland","2020-03-17T16:33:04","2700","27","4","46.8182","8.2275","03-17-2020.csv"
"United Kingdom","United Kingdom","2020-03-17T15:13:09","1950","55","52","55.3781","-3.4360","03-17-2020.csv"
"New York","US","2020-03-17T22:53:03","1706","13","0","42.1657","-74.9481","03-17-2020.csv"
"Netherlands","Netherlands","2020-03-17T15:13:11","1705","43","2","52.1326","5.2913","03-17-2020.csv"
"","Norway","2020-03-17T19:53:02","1463","3","1","60.4720","8.4689","03-17-2020.csv"
"Guangdong","China","2020-03-17T01:53:03","1364","8","1307","23.3417","113.4244","03-17-2020.csv"
"","Austria","2020-03-17T15:33:06","1332","3","1","47.5162","14.5501","03-17-2020.csv"
"Henan","China","2020-03-14T09:53:08","1273","22","1250","33.8820","113.6140","03-17-2020.csv"
"","Belgium","2020-03-17T15:33:06","1243","10","1","50.5039","4.4699","03-17-2020.csv"
"Zhejiang","China","2020-03-17T02:13:21","1232","1","1216","29.1832","120.0934","03-17-2020.csv"
"","Sweden","2020-03-17T15:33:06","1190","7","1","60.1282","18.6435","03-17-2020.csv"
"Washington","US","2020-03-17T23:33:03","1076","55","1","47.4009","-121.4905","03-17-2020.csv"
"Hunan","China","2020-03-14T08:33:03","1018","4","1014","27.6104","111.7088","03-17-2020.csv"
"Anhui","China","2020-03-11T02:18:14","990","6","984","31.8257","117.2264","03-17-2020.csv"
"Denmark","Denmark","2020-03-17T16:33:04","977","4","1","56.2639","9.5018","03-17-2020.csv"
"Jiangxi","China","2020-03-12T02:13:04","935","1","934","27.6140","115.7221","03-17-2020.csv"
"","Japan","2020-03-17T16:53:04","878","29","144","36.2048","138.2529","03-17-2020.csv"
"Shandong","China","2020-03-17T00:33:02","761","7","746","36.3427","118.1498","03-17-2020.csv"
"California","US","2020-03-17T22:53:03","698","12","6","36.1162","-119.6816","03-17-2020.csv"
"Diamond Princess","Cruise Ship","2020-03-13T14:13:25","696","7","325","35.4498","139.6649","03-17-2020.csv"
"","Malaysia","2020-03-17T15:33:06","673","2","49","4.2105","101.9758","03-17-2020.csv"
"Jiangsu","China","2020-03-15T01:53:02","631","0","631","32.9711","119.4550","03-17-2020.csv"
"Chongqing","China","2020-03-15T03:53:04","576","6","570","30.0572","107.8740","03-17-2020.csv"
"Sichuan","China","2020-03-17T08:33:02","540","3","520","30.6171","102.7103","03-17-2020.csv"
"Heilongjiang","China","2020-03-17T01:33:02","482","13","456","47.8620","127.7615","03-17-2020.csv"
"Beijing","China","2020-03-17T10:53:03","456","8","369","40.1824","116.4142","03-17-2020.csv"
"","Portugal","2020-03-17T15:33:06","448","1","3","39.3999","-8.2245","03-17-2020.csv"
"","Qatar","2020-03-16T15:13:09","439","0","4","25.3548","51.1839","03-17-2020.csv"
"","Czechia","2020-03-17T15:33:06","396","0","3","49.8175","15.4730","03-17-2020.csv"
"","Greece","2020-03-17T16:33:04","387","5","8","39.0742","21.8243","03-17-2020.csv"
"Shanghai","China","2020-03-17T02:13:20","358","3","325","31.2020","121.4491","03-17-2020.csv"
"","Israel","2020-03-17T20:53:02","337","0","11","31.0461","34.8516","03-17-2020.csv"
"","Brazil","2020-03-17T15:33:06","321","1","2","-14.2350","-51.9253","03-17-2020.csv"
