"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","2020-02-29T12:13:10","66337","2727","28993","02-29-2020.csv"
"","South Korea","2020-02-29T18:13:07","3150","16","27","02-29-2020.csv"
"Guangdong","Mainland China","2020-02-29T15:33:03","1349","7","983","02-29-2020.csv"
"Henan","Mainland China","2020-02-29T12:43:05","1272","21","1170","02-29-2020.csv"
"Zhejiang","Mainland China","2020-02-29T09:13:10","1205","1","1016","02-29-2020.csv"
"","Italy","2020-02-29T18:03:05","1128","29","46","02-29-2020.csv"
"Hunan","Mainland China","2020-02-29T15:33:03","1018","4","846","02-29-2020.csv"
"Anhui","Mainland China","2020-02-29T05:03:13","990","6","868","02-29-2020.csv"
"Jiangxi","Mainland China","2020-02-29T01:23:07","935","1","811","02-29-2020.csv"
"Shandong","Mainland China","2020-02-29T15:33:03","756","6","421","02-29-2020.csv"
"Diamond Princess cruise ship","Others","2020-02-29T01:43:02","705","6","10","02-29-2020.csv"
"Jiangsu","Mainland China","2020-02-29T07:23:11","631","0","523","02-29-2020.csv"
"","Iran","2020-02-29T14:53:04","593","43","123","02-29-2020.csv"
"Chongqing","Mainland China","2020-02-29T23:13:06","576","6","438","02-29-2020.csv"
"Sichuan","Mainland China","2020-02-29T12:03:07","538","3","351","02-29-2020.csv"
"Heilongjiang","Mainland China","2020-02-29T12:03:07","480","13","301","02-29-2020.csv"
"Beijing","Mainland China","2020-02-29T03:33:02","411","8","271","02-29-2020.csv"
"Shanghai","Mainland China","2020-02-29T06:23:03","337","3","287","02-29-2020.csv"
"Hebei","Mainland China","2020-02-29T15:33:03","318","6","282","02-29-2020.csv"
"Fujian","Mainland China","2020-02-29T15:33:03","296","1","243","02-29-2020.csv"
"Guangxi","Mainland China","2020-02-29T12:03:07","252","2","176","02-29-2020.csv"
"Shaanxi","Mainland China","2020-02-29T09:03:06","245","1","207","02-29-2020.csv"
"","Japan","2020-02-29T15:53:04","241","5","32","02-29-2020.csv"
"Yunnan","Mainland China","2020-02-29T05:03:13","174","2","157","02-29-2020.csv"
"Hainan","Mainland China","2020-02-29T23:43:02","168","5","148","02-29-2020.csv"
"Guizhou","Mainland China","2020-02-27T00:43:02","146","2","112","02-29-2020.csv"
"Tianjin","Mainland China","2020-02-29T12:03:07","136","3","109","02-29-2020.csv"
"Shanxi","Mainland China","2020-02-29T23:13:06","133","0","114","02-29-2020.csv"
"Liaoning","Mainland China","2020-02-29T15:33:03","121","1","96","02-29-2020.csv"
"","Singapore","2020-02-29T14:33:03","102","0","72","02-29-2020.csv"
"","France","2020-02-29T19:03:04","100","2","12","02-29-2020.csv"
"Hong Kong","Hong Kong","2020-02-29T23:53:02","95","2","33","02-29-2020.csv"
"Jilin","Mainland China","2020-02-29T09:13:10","93","1","75","02-29-2020.csv"
"Gansu","Mainland China","2020-02-28T02:33:02","91","2","82","02-29-2020.csv"
"","Germany","2020-02-29T14:43:03","79","0","16","02-29-2020.csv"
"Xinjiang","Mainland China","2020-02-29T12:03:07","76","3","62","02-29-2020.csv"
