"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude","CSV File Name"
"","Lebanon","2020-03-11T11:53:03","61","3","1","33.8547","35.8623","03-11-2020.csv"
"","Egypt","2020-03-11T22:13:12","60","1","27","26.0000","30.0000","03-11-2020.csv"
"","Finland","2020-03-11T13:33:10","59","0","1","64.0000","26.0000","03-11-2020.csv"
"","Portugal","2020-03-11T13:33:11","59","0","0","39.3999","-8.2245","03-11-2020.csv"
"","Thailand","2020-03-11T09:13:10","59","1","34","15.8700","100.9925","03-11-2020.csv"
"","Slovenia","2020-03-11T14:13:11","57","0","0","46.1512","14.9955","03-11-2020.csv"
"","Philippines","2020-03-11T10:53:03","49","1","2","12.8797","121.7740","03-11-2020.csv"
"","Taiwan*","2020-03-11T20:13:14","48","1","17","23.7000","121.0000","03-11-2020.csv"
"Diamond Princess","US","2020-03-10T02:33:04","46","0","0","35.4437","139.6380","03-11-2020.csv"
"","Romania","2020-03-11T21:13:18","45","0","6","46.0000","25.0000","03-11-2020.csv"
"","Ireland","2020-03-11T21:33:03","43","1","0","53.1424","-7.6921","03-11-2020.csv"
"Ontario","Canada","2020-03-11T18:52:04","41","0","4","51.2538","-85.3232","03-11-2020.csv"
"British Columbia","Canada","2020-03-11T02:18:28","39","1","4","53.7267","-127.6476","03-11-2020.csv"
"","Brazil","2020-03-11T22:13:12","38","0","0","-14.2350","-51.9253","03-11-2020.csv"
"","Vietnam","2020-03-11T20:53:02","38","0","16","16.0000","108.0000","03-11-2020.csv"
"","Indonesia","2020-03-11T11:14:26","34","1","2","-0.7893","113.9213","03-11-2020.csv"
"Colorado","US","2020-03-11T22:53:03","34","0","0","39.0598","-105.3111","03-11-2020.csv"
"","Poland","2020-03-11T21:13:21","31","0","0","51.9194","19.1451","03-11-2020.csv"
"Florida","US","2020-03-11T03:33:05","28","2","0","27.7663","-81.6868","03-11-2020.csv"
"Illinois","US","2020-03-11T22:53:03","25","0","2","40.3495","-88.9861","03-11-2020.csv"
"","Georgia","2020-03-11T22:13:12","24","0","0","42.3154","43.3569","03-11-2020.csv"
"","Chile","2020-03-11T22:13:12","23","0","0","-35.6751","-71.5430","03-11-2020.csv"
"Georgia","US","2020-03-11T18:52:03","23","0","0","33.0406","-83.6431","03-11-2020.csv"
"New Jersey","US","2020-03-11T18:52:04","23","1","0","40.2989","-74.5210","03-11-2020.csv"
"Victoria","Australia","2020-03-11T18:52:04","21","0","7","-37.8136","144.9631","03-11-2020.csv"
"","Saudi Arabia","2020-03-11T13:33:11","21","0","1","24.0000","45.0000","03-11-2020.csv"
"Grand Princess","US","2020-03-10T02:33:04","21","0","0","37.6489","-122.6655","03-11-2020.csv"
"Texas","US","2020-03-11T22:53:03","21","0","0","31.0545","-97.5635","03-11-2020.csv"
"","Algeria","2020-03-09T10:13:06","20","0","0","28.0339","1.6596","03-11-2020.csv"
"Queensland","Australia","2020-03-11T18:52:04","20","0","8","-28.0167","153.4000","03-11-2020.csv"
"","Russia","2020-03-11T18:52:03","20","0","3","60.0000","90.0000","03-11-2020.csv"
"","Argentina","2020-03-11T02:18:16","19","1","0","-38.4161","-63.6167","03-11-2020.csv"
"Alberta","Canada","2020-03-11T23:13:07","19","0","0","53.9333","-116.5765","03-11-2020.csv"
