Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,2020-02-21T13:03:09,62662,2144,11881,02-21-2020.csv,02-21-2020
Guangdong,Mainland China,2020-02-21T10:13:09,1333,5,690,02-21-2020.csv,02-21-2020
Henan,Mainland China,2020-02-21T13:43:02,1267,19,736,02-21-2020.csv,02-21-2020
Zhejiang,Mainland China,2020-02-21T10:23:02,1203,1,679,02-21-2020.csv,02-21-2020
Hunan,Mainland China,2020-02-21T15:13:07,1011,4,661,02-21-2020.csv,02-21-2020
Anhui,Mainland China,2020-02-21T10:13:09,988,6,539,02-21-2020.csv,02-21-2020
Jiangxi,Mainland China,2020-02-21T01:13:05,934,1,489,02-21-2020.csv,02-21-2020
Shandong,Mainland China,2020-02-21T10:23:02,749,4,281,02-21-2020.csv,02-21-2020
Diamond Princess cruise ship,Others,2020-02-20T15:53:03,634,2,1,02-21-2020.csv,02-21-2020
Jiangsu,Mainland China,2020-02-21T11:43:01,631,0,373,02-21-2020.csv,02-21-2020
Chongqing,Mainland China,2020-02-21T23:13:14,572,6,316,02-21-2020.csv,02-21-2020
Sichuan,Mainland China,2020-02-21T12:53:01,525,3,231,02-21-2020.csv,02-21-2020
Heilongjiang,Mainland China,2020-02-21T11:43:01,479,12,175,02-21-2020.csv,02-21-2020
Beijing,Mainland China,2020-02-21T01:03:09,396,4,169,02-21-2020.csv,02-21-2020
Shanghai,Mainland China,2020-02-21T05:53:01,334,2,211,02-21-2020.csv,02-21-2020
Hebei,Mainland China,2020-02-21T12:53:01,308,5,184,02-21-2020.csv,02-21-2020
Fujian,Mainland China,2020-02-21T11:43:01,293,1,149,02-21-2020.csv,02-21-2020
Guangxi,Mainland China,2020-02-21T11:43:01,246,2,97,02-21-2020.csv,02-21-2020
Shaanxi,Mainland China,2020-02-21T11:43:01,245,1,134,02-21-2020.csv,02-21-2020
,South Korea,2020-02-21T13:43:02,204,2,16,02-21-2020.csv,02-21-2020
Yunnan,Mainland China,2020-02-21T06:23:04,174,2,96,02-21-2020.csv,02-21-2020
Hainan,Mainland China,2020-02-21T10:13:09,168,4,95,02-21-2020.csv,02-21-2020
Guizhou,Mainland China,2020-02-21T12:53:01,146,2,77,02-21-2020.csv,02-21-2020
Shanxi,Mainland China,2020-02-21T23:33:06,132,0,78,02-21-2020.csv,02-21-2020
Tianjin,Mainland China,2020-02-21T12:53:01,132,3,62,02-21-2020.csv,02-21-2020
Liaoning,Mainland China,2020-02-21T01:33:02,121,1,61,02-21-2020.csv,02-21-2020
,Japan,2020-02-21T19:03:06,105,1,22,02-21-2020.csv,02-21-2020
Gansu,Mainland China,2020-02-21T15:13:07,91,2,76,02-21-2020.csv,02-21-2020
Jilin,Mainland China,2020-02-21T10:13:09,91,1,45,02-21-2020.csv,02-21-2020
,Singapore,2020-02-21T03:43:02,85,0,37,02-21-2020.csv,02-21-2020
Xinjiang,Mainland China,2020-02-21T13:43:02,76,1,24,02-21-2020.csv,02-21-2020
Inner Mongolia,Mainland China,2020-02-21T08:03:15,75,0,17,02-21-2020.csv,02-21-2020
Ningxia,Mainland China,2020-02-21T06:23:04,71,0,48,02-21-2020.csv,02-21-2020
Hong Kong,Hong Kong,2020-02-21T03:43:02,68,2,5,02-21-2020.csv,02-21-2020
,Thailand,2020-02-21T18:53:02,35,0,17,02-21-2020.csv,02-21-2020
Taiwan,Taiwan,2020-02-21T06:53:03,26,1,2,02-21-2020.csv,02-21-2020
,Malaysia,2020-02-19T09:33:03,22,0,15,02-21-2020.csv,02-21-2020
,Italy,2020-02-21T23:33:06,20,1,0,02-21-2020.csv,02-21-2020
,Iran,2020-02-21T18:53:02,18,4,0,02-21-2020.csv,02-21-2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,02-21-2020.csv,02-21-2020
,Germany,2020-02-21T23:03:13,16,0,14,02-21-2020.csv,02-21-2020
,Vietnam,2020-02-21T06:03:04,16,0,14,02-21-2020.csv,02-21-2020
,France,2020-02-15T20:53:02,12,1,4,02-21-2020.csv,02-21-2020
"Ashland, NE",US,2020-02-21T23:23:06,11,0,0,02-21-2020.csv,02-21-2020
Macau,Macau,2020-02-20T02:13:19,10,0,6,02-21-2020.csv,02-21-2020
,UK,2020-02-16T16:23:06,9,0,8,02-21-2020.csv,02-21-2020
,United Arab Emirates,2020-02-16T20:43:02,9,0,4,02-21-2020.csv,02-21-2020
British Columbia,Canada,2020-02-21T05:23:04,6,0,0,02-21-2020.csv,02-21-2020
Queensland,Australia,2020-02-21T05:43:02,5,0,1,02-21-2020.csv,02-21-2020
"Travis, CA",US,2020-02-21T23:23:06,5,0,0,02-21-2020.csv,02-21-2020
From Diamond Princess,Australia,2020-02-21T23:03:13,4,0,0,02-21-2020.csv,02-21-2020
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,02-21-2020.csv,02-21-2020
Victoria,Australia,2020-02-13T17:53:03,4,0,4,02-21-2020.csv,02-21-2020
