Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,2020-02-28T00:43:01,65914,2682,26403,02-28-2020.csv,02-28-2020
,South Korea,2020-02-28T08:53:03,2337,13,22,02-28-2020.csv,02-28-2020
Guangdong,Mainland China,2020-02-28T08:53:03,1348,7,935,02-28-2020.csv,02-28-2020
Henan,Mainland China,2020-02-28T09:23:02,1272,20,1112,02-28-2020.csv,02-28-2020
Zhejiang,Mainland China,2020-02-28T10:03:12,1205,1,975,02-28-2020.csv,02-28-2020
Hunan,Mainland China,2020-02-28T09:13:10,1017,4,830,02-28-2020.csv,02-28-2020
Anhui,Mainland China,2020-02-28T04:43:02,990,6,821,02-28-2020.csv,02-28-2020
Jiangxi,Mainland China,2020-02-28T01:13:11,935,1,790,02-28-2020.csv,02-28-2020
,Italy,2020-02-28T20:13:09,888,21,46,02-28-2020.csv,02-28-2020
Shandong,Mainland China,2020-02-28T09:23:02,756,6,405,02-28-2020.csv,02-28-2020
Diamond Princess cruise ship,Others,2020-02-28T20:53:02,705,6,10,02-28-2020.csv,02-28-2020
Jiangsu,Mainland China,2020-02-28T08:53:03,631,0,515,02-28-2020.csv,02-28-2020
Chongqing,Mainland China,2020-02-28T23:23:03,576,6,422,02-28-2020.csv,02-28-2020
Sichuan,Mainland China,2020-02-28T09:23:02,538,3,338,02-28-2020.csv,02-28-2020
Heilongjiang,Mainland China,2020-02-28T04:43:02,480,13,283,02-28-2020.csv,02-28-2020
Beijing,Mainland China,2020-02-28T02:23:05,410,7,257,02-28-2020.csv,02-28-2020
,Iran,2020-02-28T15:43:03,388,34,73,02-28-2020.csv,02-28-2020
Shanghai,Mainland China,2020-02-28T04:53:03,337,3,279,02-28-2020.csv,02-28-2020
Hebei,Mainland China,2020-02-28T08:53:03,318,6,277,02-28-2020.csv,02-28-2020
Fujian,Mainland China,2020-02-28T09:13:10,296,1,235,02-28-2020.csv,02-28-2020
Guangxi,Mainland China,2020-02-28T09:13:10,252,2,168,02-28-2020.csv,02-28-2020
Shaanxi,Mainland China,2020-02-28T08:53:03,245,1,199,02-28-2020.csv,02-28-2020
,Japan,2020-02-28T12:43:02,228,4,22,02-28-2020.csv,02-28-2020
Yunnan,Mainland China,2020-02-28T05:03:09,174,2,156,02-28-2020.csv,02-28-2020
Hainan,Mainland China,2020-02-28T08:53:03,168,5,133,02-28-2020.csv,02-28-2020
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,02-28-2020.csv,02-28-2020
Tianjin,Mainland China,2020-02-27T23:13:04,136,3,102,02-28-2020.csv,02-28-2020
Shanxi,Mainland China,2020-02-28T23:23:03,133,0,112,02-28-2020.csv,02-28-2020
Liaoning,Mainland China,2020-02-27T14:13:06,121,1,93,02-28-2020.csv,02-28-2020
Hong Kong,Hong Kong,2020-02-28T10:03:12,94,2,30,02-28-2020.csv,02-28-2020
Jilin,Mainland China,2020-02-28T08:53:03,93,1,73,02-28-2020.csv,02-28-2020
,Singapore,2020-02-26T19:33:02,93,0,62,02-28-2020.csv,02-28-2020
Gansu,Mainland China,2020-02-28T02:33:02,91,2,82,02-28-2020.csv,02-28-2020
