"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","1/30/20 16:00","4903","162","90","01-30-2020.csv"
"Zhejiang","Mainland China","1/30/20 16:00","428","","4","01-30-2020.csv"
"Guangdong","Mainland China","1/30/20 16:00","354","","10","01-30-2020.csv"
"Henan","Mainland China","1/30/20 16:00","278","2","2","01-30-2020.csv"
"Hunan","Mainland China","1/30/20 16:00","277","","2","01-30-2020.csv"
"Anhui","Mainland China","1/30/20 16:00","200","","2","01-30-2020.csv"
"Chongqing","Mainland China","1/30/20 16:00","182","","1","01-30-2020.csv"
"Jiangxi","Mainland China","1/30/20 16:00","162","","5","01-30-2020.csv"
"Shandong","Mainland China","1/30/20 16:00","158","","1","01-30-2020.csv"
"Sichuan","Mainland China","1/30/20 16:00","142","1","1","01-30-2020.csv"
"Jiangsu","Mainland China","1/30/20 16:00","129","","1","01-30-2020.csv"
"Beijing","Mainland China","1/30/20 16:00","114","1","4","01-30-2020.csv"
"Shanghai","Mainland China","1/30/20 16:00","112","1","5","01-30-2020.csv"
"Fujian","Mainland China","1/30/20 16:00","101","","","01-30-2020.csv"
"Guangxi","Mainland China","1/30/20 16:00","78","","2","01-30-2020.csv"
"Yunnan","Mainland China","1/30/20 16:00","70","","","01-30-2020.csv"
"Hebei","Mainland China","1/30/20 16:00","65","1","","01-30-2020.csv"
"Shaanxi","Mainland China","1/30/20 16:00","63","","","01-30-2020.csv"
"Hainan","Mainland China","1/30/20 16:00","46","1","1","01-30-2020.csv"
"Heilongjiang","Mainland China","1/30/20 16:00","44","2","","01-30-2020.csv"
"Liaoning","Mainland China","1/30/20 16:00","41","","1","01-30-2020.csv"
"Shanxi","Mainland China","1/30/20 16:00","35","","1","01-30-2020.csv"
"Tianjin","Mainland China","1/30/20 16:00","31","","","01-30-2020.csv"
"Gansu","Mainland China","1/30/20 16:00","26","","","01-30-2020.csv"
"Inner Mongolia","Mainland China","1/30/20 16:00","19","","","01-30-2020.csv"
"Ningxia","Mainland China","1/30/20 16:00","17","","","01-30-2020.csv"
"Jilin","Mainland China","1/30/20 16:00","14","","1","01-30-2020.csv"
"Xinjiang","Mainland China","1/30/20 16:00","14","","","01-30-2020.csv"
"Guizhou","Mainland China","1/30/20 16:00","12","","1","01-30-2020.csv"
"Hong Kong","Hong Kong","1/30/20 16:00","10","","","01-30-2020.csv"
"Taiwan","Taiwan","1/30/20 16:00","9","","","01-30-2020.csv"
"Qinghai","Mainland China","1/30/20 16:00","8","","","01-30-2020.csv"
"Macau","Macau","1/30/20 16:00","7","","","01-30-2020.csv"
"Tibet","Mainland China","1/30/20 16:00","1","","","01-30-2020.csv"
"Washington","US","1/30/20 16:00","1","","","01-30-2020.csv"
"Illinois","US","1/30/20 16:00","1","","","01-30-2020.csv"
"California","US","1/30/20 16:00","2","","","01-30-2020.csv"
"Arizona","US","1/30/20 16:00","1","","","01-30-2020.csv"
"","Japan","1/30/20 16:00","11","","1","01-30-2020.csv"
"","Thailand","1/30/20 16:00","14","","5","01-30-2020.csv"
"","South Korea","1/30/20 16:00","4","","","01-30-2020.csv"
"","Singapore","1/30/20 16:00","10","","","01-30-2020.csv"
"","Vietnam","1/30/20 16:00","2","","","01-30-2020.csv"
"","France","1/30/20 16:00","5","","","01-30-2020.csv"
"","Nepal","1/30/20 16:00","1","","","01-30-2020.csv"
"","Malaysia","1/30/20 16:00","8","","","01-30-2020.csv"
"Ontario","Canada","1/30/20 16:00","2","","","01-30-2020.csv"
"British Columbia","Canada","1/30/20 16:00","1","","","01-30-2020.csv"
"","Cambodia","1/30/20 16:00","1","","","01-30-2020.csv"
"","Sri Lanka","1/30/20 16:00","1","","","01-30-2020.csv"
"New South Wales","Australia","1/30/20 16:00","4","","2","01-30-2020.csv"
"Victoria","Australia","1/30/20 16:00","2","","","01-30-2020.csv"
"Queensland","Australia","1/30/20 16:00","3","","","01-30-2020.csv"
"Bavaria","Germany","1/30/20 16:00","4","","","01-30-2020.csv"
"","Finland","1/30/20 16:00","1","","","01-30-2020.csv"
"","United Arab Emirates","1/30/20 16:00","4","","","01-30-2020.csv"
"","Philippines","1/30/20 16:00","1","","","01-30-2020.csv"
"","India","1/30/20 16:00","1","","","01-30-2020.csv"
