Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,2020-02-27T12:13:14,65596,2641,23383,02-27-2020.csv,02-27-2020
,South Korea,2020-02-27T12:03:04,1766,13,22,02-27-2020.csv,02-27-2020
Guangdong,Mainland China,2020-02-27T09:53:02,1347,7,890,02-27-2020.csv,02-27-2020
Henan,Mainland China,2020-02-27T15:03:11,1272,20,1068,02-27-2020.csv,02-27-2020
Zhejiang,Mainland China,2020-02-27T12:43:02,1205,1,932,02-27-2020.csv,02-27-2020
Hunan,Mainland China,2020-02-27T12:43:02,1017,4,804,02-27-2020.csv,02-27-2020
Anhui,Mainland China,2020-02-27T14:13:06,989,6,792,02-27-2020.csv,02-27-2020
Jiangxi,Mainland China,2020-02-27T01:43:02,934,1,754,02-27-2020.csv,02-27-2020
Shandong,Mainland China,2020-02-27T14:13:06,756,6,387,02-27-2020.csv,02-27-2020
Diamond Princess cruise ship,Others,2020-02-26T19:33:02,705,4,10,02-27-2020.csv,02-27-2020
,Italy,2020-02-27T23:23:02,655,17,45,02-27-2020.csv,02-27-2020
Jiangsu,Mainland China,2020-02-27T14:13:06,631,0,498,02-27-2020.csv,02-27-2020
Chongqing,Mainland China,2020-02-27T23:23:02,576,6,401,02-27-2020.csv,02-27-2020
Sichuan,Mainland China,2020-02-27T12:43:02,534,3,321,02-27-2020.csv,02-27-2020
Heilongjiang,Mainland China,2020-02-27T12:43:02,480,13,270,02-27-2020.csv,02-27-2020
Beijing,Mainland China,2020-02-27T02:23:13,410,5,248,02-27-2020.csv,02-27-2020
Shanghai,Mainland China,2020-02-27T04:03:12,337,3,276,02-27-2020.csv,02-27-2020
Hebei,Mainland China,2020-02-27T12:43:02,317,6,274,02-27-2020.csv,02-27-2020
Fujian,Mainland China,2020-02-27T10:03:07,296,1,228,02-27-2020.csv,02-27-2020
Guangxi,Mainland China,2020-02-27T10:03:07,252,2,161,02-27-2020.csv,02-27-2020
,Iran,2020-02-27T12:03:04,245,26,49,02-27-2020.csv,02-27-2020
Shaanxi,Mainland China,2020-02-27T12:43:02,245,1,195,02-27-2020.csv,02-27-2020
,Japan,2020-02-27T23:33:02,214,4,22,02-27-2020.csv,02-27-2020
Yunnan,Mainland China,2020-02-27T10:03:07,174,2,150,02-27-2020.csv,02-27-2020
Hainan,Mainland China,2020-02-27T10:03:07,168,5,131,02-27-2020.csv,02-27-2020
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,02-27-2020.csv,02-27-2020
Tianjin,Mainland China,2020-02-27T23:13:04,136,3,102,02-27-2020.csv,02-27-2020
Shanxi,Mainland China,2020-02-27T23:13:04,133,0,107,02-27-2020.csv,02-27-2020
Liaoning,Mainland China,2020-02-27T14:13:06,121,1,93,02-27-2020.csv,02-27-2020
Jilin,Mainland China,2020-02-27T12:43:02,93,1,67,02-27-2020.csv,02-27-2020
,Singapore,2020-02-26T19:33:02,93,0,62,02-27-2020.csv,02-27-2020
Hong Kong,Hong Kong,2020-02-27T09:53:02,92,2,24,02-27-2020.csv,02-27-2020
Gansu,Mainland China,2020-02-26T14:13:10,91,2,81,02-27-2020.csv,02-27-2020
Xinjiang,Mainland China,2020-02-27T12:43:02,76,2,43,02-27-2020.csv,02-27-2020
Inner Mongolia,Mainland China,2020-02-27T23:33:02,75,0,43,02-27-2020.csv,02-27-2020
Ningxia,Mainland China,2020-02-27T10:03:07,72,0,68,02-27-2020.csv,02-27-2020
,Germany,2020-02-27T23:13:04,46,0,16,02-27-2020.csv,02-27-2020
,Kuwait,2020-02-27T13:33:03,43,0,0,02-27-2020.csv,02-27-2020
Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42,0,0,02-27-2020.csv,02-27-2020
,Thailand,2020-02-26T07:23:03,40,0,22,02-27-2020.csv,02-27-2020
,France,2020-02-27T22:13:10,38,2,11,02-27-2020.csv,02-27-2020
,Bahrain,2020-02-26T21:03:07,33,0,0,02-27-2020.csv,02-27-2020
Taiwan,Taiwan,2020-02-26T12:23:04,32,1,5,02-27-2020.csv,02-27-2020
,Malaysia,2020-02-27T15:13:13,23,0,18,02-27-2020.csv,02-27-2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,02-27-2020.csv,02-27-2020
,Vietnam,2020-02-25T08:53:02,16,0,16,02-27-2020.csv,02-27-2020
,Spain,2020-02-27T13:23:02,15,0,2,02-27-2020.csv,02-27-2020
,UK,2020-02-27T13:23:02,15,0,8,02-27-2020.csv,02-27-2020
,United Arab Emirates,2020-02-22T14:53:02,13,0,4,02-27-2020.csv,02-27-2020
Macau,Macau,2020-02-27T12:43:02,10,0,8,02-27-2020.csv,02-27-2020
From Diamond Princess,Australia,2020-02-27T03:33:06,8,0,0,02-27-2020.csv,02-27-2020
,Switzerland,2020-02-27T23:03:11,8,0,0,02-27-2020.csv,02-27-2020
British Columbia,Canada,2020-02-27T03:33:06,7,0,3,02-27-2020.csv,02-27-2020
,Iraq,2020-02-27T22:23:11,7,0,0,02-27-2020.csv,02-27-2020
,Sweden,2020-02-27T20:33:02,7,0,0,02-27-2020.csv,02-27-2020
Queensland,Australia,2020-02-21T05:43:02,5,0,1,02-27-2020.csv,02-27-2020
"Toronto, ON",Canada,2020-02-27T22:43:02,5,0,2,02-27-2020.csv,02-27-2020
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,02-27-2020.csv,02-27-2020
Victoria,Australia,2020-02-13T17:53:03,4,0,4,02-27-2020.csv,02-27-2020
,Oman,2020-02-26T04:53:02,4,0,0,02-27-2020.csv,02-27-2020
,Austria,2020-02-27T14:03:03,3,0,0,02-27-2020.csv,02-27-2020
,Croatia,2020-02-26T20:03:06,3,0,0,02-27-2020.csv,02-27-2020
,Greece,2020-02-27T14:03:03,3,0,0,02-27-2020.csv,02-27-2020
,India,2020-02-16T07:43:02,3,0,3,02-27-2020.csv,02-27-2020
,Israel,2020-02-27T14:03:03,3,0,1,02-27-2020.csv,02-27-2020
,Philippines,2020-02-12T07:43:02,3,1,1,02-27-2020.csv,02-27-2020
South Australia,Australia,2020-02-17T08:13:09,2,0,2,02-27-2020.csv,02-27-2020
,Finland,2020-02-26T19:03:08,2,0,1,02-27-2020.csv,02-27-2020
,Lebanon,2020-02-26T19:33:02,2,0,0,02-27-2020.csv,02-27-2020
,Pakistan,2020-02-26T23:53:02,2,0,0,02-27-2020.csv,02-27-2020
,Russia,2020-02-12T14:43:03,2,0,2,02-27-2020.csv,02-27-2020
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,02-27-2020.csv,02-27-2020
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,02-27-2020.csv,02-27-2020
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,02-27-2020.csv,02-27-2020
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,02-27-2020.csv,02-27-2020
"Santa Clara, CA",US,2020-02-21T05:23:04,2,0,1,02-27-2020.csv,02-27-2020
,Afghanistan,2020-02-24T23:33:02,1,0,0,02-27-2020.csv,02-27-2020
,Algeria,2020-02-25T23:43:03,1,0,0,02-27-2020.csv,02-27-2020
,Belgium,2020-02-17T04:23:06,1,0,1,02-27-2020.csv,02-27-2020
,Brazil,2020-02-26T23:53:02,1,0,0,02-27-2020.csv,02-27-2020
