"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","2020-02-18T23:13:11","61682","1921","9128","02-18-2020.csv"
"Guangdong","Mainland China","2020-02-18T13:43:02","1328","4","565","02-18-2020.csv"
"Henan","Mainland China","2020-02-18T14:23:02","1257","19","522","02-18-2020.csv"
"Zhejiang","Mainland China","2020-02-18T12:23:02","1172","0","535","02-18-2020.csv"
"Hunan","Mainland China","2020-02-18T13:43:02","1007","4","527","02-18-2020.csv"
"Anhui","Mainland China","2020-02-18T13:43:02","982","6","361","02-18-2020.csv"
"Jiangxi","Mainland China","2020-02-18T01:33:01","933","1","310","02-18-2020.csv"
"Jiangsu","Mainland China","2020-02-18T12:33:02","629","0","280","02-18-2020.csv"
"Chongqing","Mainland China","2020-02-18T23:23:03","555","5","254","02-18-2020.csv"
"Shandong","Mainland China","2020-02-18T12:13:08","543","3","211","02-18-2020.csv"
"Diamond Princess cruise ship","Others","2020-02-18T16:53:03","542","0","0","02-18-2020.csv"
"Sichuan","Mainland China","2020-02-18T12:33:02","508","3","169","02-18-2020.csv"
"Heilongjiang","Mainland China","2020-02-18T11:03:12","464","11","111","02-18-2020.csv"
"Beijing","Mainland China","2020-02-18T02:13:06","387","4","122","02-18-2020.csv"
"Shanghai","Mainland China","2020-02-18T05:03:08","333","1","177","02-18-2020.csv"
"Hebei","Mainland China","2020-02-18T23:53:01","306","4","136","02-18-2020.csv"
"Fujian","Mainland China","2020-02-18T09:43:08","292","0","93","02-18-2020.csv"
"Guangxi","Mainland China","2020-02-18T12:33:02","242","2","69","02-18-2020.csv"
"Shaanxi","Mainland China","2020-02-18T14:23:02","240","0","89","02-18-2020.csv"
"Yunnan","Mainland China","2020-02-18T09:43:08","172","0","57","02-18-2020.csv"
"Hainan","Mainland China","2020-02-18T10:43:02","163","4","79","02-18-2020.csv"
"Guizhou","Mainland China","2020-02-18T13:33:02","146","2","66","02-18-2020.csv"
"Shanxi","Mainland China","2020-02-18T23:23:03","131","0","61","02-18-2020.csv"
"Tianjin","Mainland China","2020-02-18T13:53:02","128","3","48","02-18-2020.csv"
"Liaoning","Mainland China","2020-02-18T12:53:02","121","1","53","02-18-2020.csv"
"Gansu","Mainland China","2020-02-18T14:53:02","91","2","62","02-18-2020.csv"
"Jilin","Mainland China","2020-02-18T07:43:02","89","1","36","02-18-2020.csv"
"","Singapore","2020-02-18T16:53:03","81","0","29","02-18-2020.csv"
"Xinjiang","Mainland China","2020-02-18T01:03:15","76","1","12","02-18-2020.csv"
"","Japan","2020-02-18T17:23:04","74","1","13","02-18-2020.csv"
"Inner Mongolia","Mainland China","2020-02-18T02:03:06","73","0","8","02-18-2020.csv"
"Ningxia","Mainland China","2020-02-18T10:23:03","70","0","42","02-18-2020.csv"
