"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","1/28/20 23:00","3554","125","80","01-28-2020.csv"
"Guangdong","Mainland China","1/28/20 23:00","207","","4","01-28-2020.csv"
"Zhejiang","Mainland China","1/28/20 23:00","173","","3","01-28-2020.csv"
"Henan","Mainland China","1/28/20 23:00","168","1","","01-28-2020.csv"
"Hunan","Mainland China","1/28/20 23:00","143","","","01-28-2020.csv"
"Chongqing","Mainland China","1/28/20 23:00","132","","","01-28-2020.csv"
"Jiangxi","Mainland China","1/28/20 23:00","109","","3","01-28-2020.csv"
"Anhui","Mainland China","1/28/20 23:00","106","","","01-28-2020.csv"
"Shandong","Mainland China","1/28/20 23:00","95","","","01-28-2020.csv"
"Beijing","Mainland China","1/28/20 23:00","91","1","4","01-28-2020.csv"
"Sichuan","Mainland China","1/28/20 23:00","90","","","01-28-2020.csv"
"Fujian","Mainland China","1/28/20 23:00","80","","","01-28-2020.csv"
"Jiangsu","Mainland China","1/28/20 23:00","70","","1","01-28-2020.csv"
"Shanghai","Mainland China","1/28/20 23:00","66","1","4","01-28-2020.csv"
"Guangxi","Mainland China","1/28/20 23:00","51","","2","01-28-2020.csv"
"Shaanxi","Mainland China","1/28/20 23:00","46","","","01-28-2020.csv"
"Yunnan","Mainland China","1/28/20 23:00","44","","","01-28-2020.csv"
"Hainan","Mainland China","1/28/20 23:00","40","1","","01-28-2020.csv"
"Liaoning","Mainland China","1/28/20 23:00","34","","","01-28-2020.csv"
"Hebei","Mainland China","1/28/20 23:00","33","1","","01-28-2020.csv"
"Heilongjiang","Mainland China","1/28/20 23:00","33","1","","01-28-2020.csv"
"Shanxi","Mainland China","1/28/20 23:00","27","","","01-28-2020.csv"
"Tianjin","Mainland China","1/28/20 23:00","24","","","01-28-2020.csv"
"Gansu","Mainland China","1/28/20 23:00","19","","","01-28-2020.csv"
"Inner Mongolia","Mainland China","1/28/20 23:00","15","","","01-28-2020.csv"
"Ningxia","Mainland China","1/28/20 23:00","11","","","01-28-2020.csv"
"Xinjiang","Mainland China","1/28/20 23:00","10","","","01-28-2020.csv"
"Guizhou","Mainland China","1/28/20 23:00","9","","","01-28-2020.csv"
"Jilin","Mainland China","1/28/20 23:00","8","","","01-28-2020.csv"
"Taiwan","Taiwan","1/28/20 23:00","8","","","01-28-2020.csv"
"Hong Kong","Hong Kong","1/28/20 23:00","8","","","01-28-2020.csv"
"Macau","Macau","1/28/20 23:00","7","","","01-28-2020.csv"
"Qinghai","Mainland China","1/28/20 23:00","6","","","01-28-2020.csv"
"Washington","US","1/28/20 23:00","1","","","01-28-2020.csv"
"Illinois","US","1/28/20 23:00","1","","","01-28-2020.csv"
"California","US","1/28/20 23:00","2","","","01-28-2020.csv"
"Arizona","US","1/28/20 23:00","1","","","01-28-2020.csv"
"","Japan","1/28/20 23:00","7","","1","01-28-2020.csv"
"","Thailand","1/28/20 23:00","14","","5","01-28-2020.csv"
"","South Korea","1/28/20 23:00","4","","","01-28-2020.csv"
"","Singapore","1/28/20 23:00","7","","","01-28-2020.csv"
"","Vietnam","1/28/20 23:00","2","","","01-28-2020.csv"
"","France","1/28/20 23:00","4","","","01-28-2020.csv"
"","Nepal","1/28/20 23:00","1","","","01-28-2020.csv"
"","Malaysia","1/28/20 23:00","4","","","01-28-2020.csv"
"Ontario","Canada","1/28/20 23:00","1","","","01-28-2020.csv"
"British Columbia","Canada","1/28/20 23:00","1","","","01-28-2020.csv"
"","Cambodia","1/28/20 23:00","1","","","01-28-2020.csv"
"","Sri Lanka","1/28/20 23:00","1","","","01-28-2020.csv"
"New South Wales","Australia","1/28/20 23:00","4","","","01-28-2020.csv"
"Victoria","Australia","1/28/20 23:00","1","","","01-28-2020.csv"
"Bavaria","Germany","1/28/20 23:00","4","","","01-28-2020.csv"
