Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,CSV File Name,Date Reported
Hubei,Mainland China,2020-03-06T14:23:04,67592,2931,42033,30.9756,112.2707,03-06-2020.csv,03-06-2020
,South Korea,2020-03-06T13:33:03,6593,42,135,36.0000,128.0000,03-06-2020.csv,03-06-2020
,Iran,2020-03-06T12:23:04,4747,124,913,32.0000,53.0000,03-06-2020.csv,03-06-2020
,Italy,2020-03-06T17:33:03,4636,197,523,43.0000,12.0000,03-06-2020.csv,03-06-2020
Guangdong,Mainland China,2020-03-06T12:53:03,1352,7,1216,23.3417,113.4244,03-06-2020.csv,03-06-2020
Henan,Mainland China,2020-03-06T12:43:03,1272,22,1244,33.8820,113.6140,03-06-2020.csv,03-06-2020
Zhejiang,Mainland China,2020-03-06T10:23:03,1215,1,1147,29.1832,120.0934,03-06-2020.csv,03-06-2020
Hunan,Mainland China,2020-03-06T11:03:10,1018,4,955,27.6104,111.7088,03-06-2020.csv,03-06-2020
Anhui,Mainland China,2020-03-06T03:23:06,990,6,979,31.8257,117.2264,03-06-2020.csv,03-06-2020
Jiangxi,Mainland China,2020-03-06T14:23:04,935,1,909,27.6140,115.7221,03-06-2020.csv,03-06-2020
Shandong,Mainland China,2020-03-06T11:03:10,758,6,618,36.3427,118.1498,03-06-2020.csv,03-06-2020
Diamond Princess cruise ship,Others,2020-03-06T01:29:39,696,6,40,35.4437,139.6380,03-06-2020.csv,03-06-2020
,Germany,2020-03-06T17:53:03,670,0,17,51.0000,9.0000,03-06-2020.csv,03-06-2020
,France,2020-03-06T20:13:13,653,9,12,47.0000,2.0000,03-06-2020.csv,03-06-2020
Jiangsu,Mainland China,2020-03-06T10:23:03,631,0,594,32.9711,119.4550,03-06-2020.csv,03-06-2020
Chongqing,Mainland China,2020-03-06T11:03:10,576,6,513,30.0572,107.8740,03-06-2020.csv,03-06-2020
Sichuan,Mainland China,2020-03-06T12:53:03,539,3,442,30.6171,102.7103,03-06-2020.csv,03-06-2020
Heilongjiang,Mainland China,2020-03-06T14:23:04,481,13,396,47.8620,127.7615,03-06-2020.csv,03-06-2020
Beijing,Mainland China,2020-03-06T12:53:03,422,8,299,40.1824,116.4142,03-06-2020.csv,03-06-2020
,Japan,2020-03-06T20:13:13,420,6,46,36.0000,138.0000,03-06-2020.csv,03-06-2020
,Spain,2020-03-06T20:13:13,400,5,2,40.0000,-4.0000,03-06-2020.csv,03-06-2020
Shanghai,Mainland China,2020-03-06T06:03:13,342,3,306,31.2020,121.4491,03-06-2020.csv,03-06-2020
Hebei,Mainland China,2020-03-06T03:23:06,318,6,305,38.0428,114.5149,03-06-2020.csv,03-06-2020
Fujian,Mainland China,2020-03-06T12:53:03,296,1,284,26.0789,117.9874,03-06-2020.csv,03-06-2020
