Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,2020-02-14T23:33:02,54406,1457,4774,02-14-2020.csv,02-14-2020
Guangdong,Mainland China,2020-02-14T12:53:02,1261,2,362,02-14-2020.csv,02-14-2020
Henan,Mainland China,2020-02-14T12:53:02,1184,11,357,02-14-2020.csv,02-14-2020
Zhejiang,Mainland China,2020-02-14T14:13:15,1155,0,403,02-14-2020.csv,02-14-2020
Hunan,Mainland China,2020-02-14T09:23:04,988,2,364,02-14-2020.csv,02-14-2020
Anhui,Mainland China,2020-02-14T12:53:02,934,6,193,02-14-2020.csv,02-14-2020
Jiangxi,Mainland China,2020-02-14T01:13:06,900,1,187,02-14-2020.csv,02-14-2020
Jiangsu,Mainland China,2020-02-14T10:03:03,593,0,157,02-14-2020.csv,02-14-2020
Chongqing,Mainland China,2020-02-14T23:33:02,537,5,152,02-14-2020.csv,02-14-2020
Shandong,Mainland China,2020-02-14T11:13:22,523,2,136,02-14-2020.csv,02-14-2020
Sichuan,Mainland China,2020-02-14T11:13:22,463,1,114,02-14-2020.csv,02-14-2020
Heilongjiang,Mainland China,2020-02-14T13:23:07,419,11,47,02-14-2020.csv,02-14-2020
Beijing,Mainland China,2020-02-14T06:33:02,372,3,80,02-14-2020.csv,02-14-2020
Shanghai,Mainland China,2020-02-14T04:13:11,318,1,90,02-14-2020.csv,02-14-2020
Hebei,Mainland China,2020-02-14T11:13:22,283,3,87,02-14-2020.csv,02-14-2020
Fujian,Mainland China,2020-02-14T11:13:22,281,0,63,02-14-2020.csv,02-14-2020
Shaanxi,Mainland China,2020-02-14T12:53:02,230,0,54,02-14-2020.csv,02-14-2020
Guangxi,Mainland China,2020-02-14T15:23:02,226,2,36,02-14-2020.csv,02-14-2020
Diamond Princess cruise ship,Others,2020-02-14T00:13:23,218,0,0,02-14-2020.csv,02-14-2020
Yunnan,Mainland China,2020-02-14T12:53:02,162,0,36,02-14-2020.csv,02-14-2020
Hainan,Mainland China,2020-02-14T15:23:02,159,4,43,02-14-2020.csv,02-14-2020
Guizhou,Mainland China,2020-02-14T01:53:02,140,1,28,02-14-2020.csv,02-14-2020
Shanxi,Mainland China,2020-02-14T23:23:04,127,0,38,02-14-2020.csv,02-14-2020
Tianjin,Mainland China,2020-02-14T11:13:22,120,3,31,02-14-2020.csv,02-14-2020
Liaoning,Mainland China,2020-02-14T15:23:02,119,1,29,02-14-2020.csv,02-14-2020
Gansu,Mainland China,2020-02-13T15:53:03,90,2,39,02-14-2020.csv,02-14-2020
Jilin,Mainland China,2020-02-14T00:43:02,86,1,25,02-14-2020.csv,02-14-2020
Ningxia,Mainland China,2020-02-14T01:43:02,67,0,24,02-14-2020.csv,02-14-2020
,Singapore,2020-02-14T12:43:02,67,0,17,02-14-2020.csv,02-14-2020
Inner Mongolia,Mainland China,2020-02-14T02:03:08,65,0,6,02-14-2020.csv,02-14-2020
Xinjiang,Mainland China,2020-02-14T01:13:06,65,1,6,02-14-2020.csv,02-14-2020
Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1,02-14-2020.csv,02-14-2020
,Thailand,2020-02-13T17:53:03,33,0,12,02-14-2020.csv,02-14-2020
,Japan,2020-02-14T03:53:02,29,1,9,02-14-2020.csv,02-14-2020
,South Korea,2020-02-12T14:43:03,28,0,7,02-14-2020.csv,02-14-2020
