"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude","CSV File Name"
"Hubei","China","2020-03-14T10:13:09","67790","3075","52960","30.9756","112.2707","03-14-2020.csv"
"","Italy","2020-03-14T20:13:16","21157","1441","1966","41.8719","12.5674","03-14-2020.csv"
"","Iran","2020-03-14T11:33:06","12729","611","2959","32.4279","53.6880","03-14-2020.csv"
"","Korea, South","2020-03-14T01:33:02","8086","72","510","35.9078","127.7669","03-14-2020.csv"
"","Spain","2020-03-14T22:13:11","6391","195","517","40.4637","-3.7492","03-14-2020.csv"
"","Germany","2020-03-14T22:13:11","4585","9","46","51.1657","10.4515","03-14-2020.csv"
"France","France","2020-03-14T20:13:16","4469","91","12","46.2276","2.2137","03-14-2020.csv"
"","Switzerland","2020-03-14T11:53:29","1359","13","4","46.8182","8.2275","03-14-2020.csv"
"Guangdong","China","2020-03-14T01:13:11","1356","8","1299","23.3417","113.4244","03-14-2020.csv"
"Henan","China","2020-03-14T09:53:08","1273","22","1250","33.8820","113.6140","03-14-2020.csv"
"Zhejiang","China","2020-03-14T02:14:15","1227","1","1211","29.1832","120.0934","03-14-2020.csv"
"United Kingdom","United Kingdom","2020-03-14T14:53:04","1140","21","18","55.3781","-3.4360","03-14-2020.csv"
"","Norway","2020-03-14T22:13:11","1090","3","1","60.4720","8.4689","03-14-2020.csv"
"Hunan","China","2020-03-14T08:33:03","1018","4","1014","27.6104","111.7088","03-14-2020.csv"
"Anhui","China","2020-03-11T02:18:14","990","6","984","31.8257","117.2264","03-14-2020.csv"
"","Sweden","2020-03-14T22:13:11","961","2","1","60.1282","18.6435","03-14-2020.csv"
"","Netherlands","2020-03-14T22:13:11","959","12","2","52.1326","5.2913","03-14-2020.csv"
"Jiangxi","China","2020-03-12T02:13:04","935","1","934","27.6140","115.7221","03-14-2020.csv"
"Denmark","Denmark","2020-03-14T22:13:32","827","1","1","56.2639","9.5018","03-14-2020.csv"
"","Japan","2020-03-14T22:33:03","773","22","118","36.2048","138.2529","03-14-2020.csv"
"Shandong","China","2020-03-14T04:33:02","760","7","741","36.3427","118.1498","03-14-2020.csv"
"Diamond Princess","Cruise Ship","2020-03-13T14:13:25","696","7","325","35.4498","139.6649","03-14-2020.csv"
"","Belgium","2020-03-14T11:53:29","689","4","1","50.5039","4.4699","03-14-2020.csv"
"","Austria","2020-03-14T16:13:55","655","1","6","47.5162","14.5501","03-14-2020.csv"
"Jiangsu","China","2020-03-13T11:09:03","631","0","630","32.9711","119.4550","03-14-2020.csv"
"Chongqing","China","2020-03-14T23:53:02","576","6","569","30.0572","107.8740","03-14-2020.csv"
"Washington","US","2020-03-14T22:13:19","572","37","1","47.4009","-121.4905","03-14-2020.csv"
"Sichuan","China","2020-03-14T04:33:02","539","3","511","30.6171","102.7103","03-14-2020.csv"
"New York","US","2020-03-14T22:13:32","525","2","0","42.1657","-74.9481","03-14-2020.csv"
"Heilongjiang","China","2020-03-14T00:13:05","482","13","447","47.8620","127.7615","03-14-2020.csv"
"Beijing","China","2020-03-14T02:13:47","437","8","349","40.1824","116.4142","03-14-2020.csv"
"Shanghai","China","2020-03-14T23:53:02","353","3","324","31.2020","121.4491","03-14-2020.csv"
"California","US","2020-03-14T22:13:32","340","5","6","36.1162","-119.6816","03-14-2020.csv"
"","Qatar","2020-03-14T22:33:03","337","0","4","25.3548","51.1839","03-14-2020.csv"
"Hebei","China","2020-03-13T11:09:03","318","6","310","38.0428","114.5149","03-14-2020.csv"
"Fujian","China","2020-03-11T02:18:14","296","1","295","26.0789","117.9874","03-14-2020.csv"
"Guangxi","China","2020-03-13T11:09:03","252","2","243","23.8298","108.7881","03-14-2020.csv"
"Shaanxi","China","2020-03-12T01:33:02","245","2","232","35.1917","108.8701","03-14-2020.csv"
"","Malaysia","2020-03-14T16:13:55","238","0","35","4.2105","101.9758","03-14-2020.csv"
"","Greece","2020-03-14T22:33:03","228","3","8","39.0742","21.8243","03-14-2020.csv"
"","Finland","2020-03-14T22:33:03","225","0","1","61.9241","25.7482","03-14-2020.csv"
"","Singapore","2020-03-14T16:14:30","212","0","105","1.3521","103.8198","03-14-2020.csv"
"","Bahrain","2020-03-14T11:53:29","210","0","44","26.0667","50.5577","03-14-2020.csv"
"","Israel","2020-03-14T20:13:16","193","0","4","31.0461","34.8516","03-14-2020.csv"
"","Czechia","2020-03-14T20:13:16","189","0","0","49.8175","15.4730","03-14-2020.csv"
"","Slovenia","2020-03-14T22:33:03","181","1","0","46.1512","14.9955","03-14-2020.csv"
"Yunnan","China","2020-03-14T23:33:02","174","2","172","24.9740","101.4870","03-14-2020.csv"
"","Portugal","2020-03-14T16:14:47","169","0","2","39.3999","-8.2245","03-14-2020.csv"
"Hainan","China","2020-03-12T03:53:02","168","6","160","19.1959","109.7453","03-14-2020.csv"
"","Iceland","2020-03-14T14:53:04","156","0","1","64.9631","-19.0208","03-14-2020.csv"
"","Brazil","2020-03-13T22:21:58","151","0","0","-14.2350","-51.9253","03-14-2020.csv"
"Guizhou","China","2020-03-14T00:53:03","146","2","143","26.8154","106.8748","03-14-2020.csv"
