"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude","CSV File Name"
"Hubei","Mainland China","2020-03-04T12:53:03","67332","2871","38557","30.9756","112.2707","03-04-2020.csv"
"","South Korea","2020-03-04T19:23:03","5621","35","41","36.0000","128.0000","03-04-2020.csv"
"","Italy","2020-03-04T19:23:03","3089","107","276","43.0000","12.0000","03-04-2020.csv"
"","Iran","2020-03-04T12:33:03","2922","92","552","32.0000","53.0000","03-04-2020.csv"
"Guangdong","Mainland China","2020-03-04T10:03:19","1350","7","1133","23.3417","113.4244","03-04-2020.csv"
"Henan","Mainland China","2020-03-04T00:33:05","1272","22","1234","33.8820","113.6140","03-04-2020.csv"
"Zhejiang","Mainland China","2020-03-04T10:03:19","1213","1","1114","29.1832","120.0934","03-04-2020.csv"
"Hunan","Mainland China","2020-03-04T15:43:02","1018","4","916","27.6104","111.7088","03-04-2020.csv"
"Anhui","Mainland China","2020-03-04T10:03:19","990","6","956","31.8257","117.2264","03-04-2020.csv"
"Jiangxi","Mainland China","2020-03-04T01:33:07","935","1","884","27.6140","115.7221","03-04-2020.csv"
"Shandong","Mainland China","2020-03-04T12:53:03","758","6","516","36.3427","118.1498","03-04-2020.csv"
"Diamond Princess cruise ship","Others","2020-03-03T03:13:06","706","6","10","35.4437","139.6380","03-04-2020.csv"
"Jiangsu","Mainland China","2020-03-04T12:53:03","631","0","577","32.9711","119.4550","03-04-2020.csv"
"Chongqing","Mainland China","2020-03-04T23:23:01","576","6","502","30.0572","107.8740","03-04-2020.csv"
"Sichuan","Mainland China","2020-03-04T12:53:03","538","3","406","30.6171","102.7103","03-04-2020.csv"
"Heilongjiang","Mainland China","2020-03-04T12:53:03","480","13","373","47.8620","127.7615","03-04-2020.csv"
"Beijing","Mainland China","2020-03-04T23:23:01","418","8","297","40.1824","116.4142","03-04-2020.csv"
"Shanghai","Mainland China","2020-03-04T04:13:08","338","3","298","31.2020","121.4491","03-04-2020.csv"
"","Japan","2020-03-04T19:23:03","331","6","43","36.0000","138.0000","03-04-2020.csv"
"Hebei","Mainland China","2020-03-04T10:03:19","318","6","301","38.0428","114.5149","03-04-2020.csv"
"Fujian","Mainland China","2020-03-04T12:53:03","296","1","270","26.0789","117.9874","03-04-2020.csv"
"","France","2020-03-04T20:43:02","285","4","12","47.0000","2.0000","03-04-2020.csv"
"","Germany","2020-03-04T19:33:03","262","0","16","51.0000","9.0000","03-04-2020.csv"
"Guangxi","Mainland China","2020-03-04T00:13:08","252","2","210","23.8298","108.7881","03-04-2020.csv"
"Shaanxi","Mainland China","2020-03-04T15:43:03","245","1","223","35.1917","108.8701","03-04-2020.csv"
"","Spain","2020-03-04T20:43:02","222","2","2","40.0000","-4.0000","03-04-2020.csv"
"Yunnan","Mainland China","2020-03-03T03:43:02","174","2","169","24.9740","101.4870","03-04-2020.csv"
"Hainan","Mainland China","2020-03-04T10:03:19","168","5","158","19.1959","109.7453","03-04-2020.csv"
"Guizhou","Mainland China","2020-03-02T01:13:06","146","2","114","26.8154","106.8748","03-04-2020.csv"
"Tianjin","Mainland China","2020-03-03T11:43:02","136","3","124","39.3054","117.3230","03-04-2020.csv"
"Shanxi","Mainland China","2020-03-03T23:13:05","133","0","124","37.5777","112.2922","03-04-2020.csv"
"Liaoning","Mainland China","2020-03-03T14:33:03","125","1","106","41.2956","122.6085","03-04-2020.csv"
"","Singapore","2020-03-03T15:23:03","110","0","78","1.2833","103.8333","03-04-2020.csv"
"Hong Kong","Hong Kong","2020-03-04T23:23:01","105","2","37","22.3000","114.2000","03-04-2020.csv"
"Jilin","Mainland China","2020-03-04T10:03:19","93","1","86","43.6661","126.1923","03-04-2020.csv"
"Gansu","Mainland China","2020-03-04T15:43:03","91","2","87","36.0611","103.8343","03-04-2020.csv"
"","Switzerland","2020-03-04T19:33:03","90","0","3","46.8182","8.2275","03-04-2020.csv"
"","UK","2020-03-04T19:33:03","85","0","8","55.0000","-3.0000","03-04-2020.csv"
"Xinjiang","Mainland China","2020-03-04T15:43:03","76","3","69","41.1129","85.2401","03-04-2020.csv"
"Inner Mongolia","Mainland China","2020-03-04T15:43:03","75","1","63","44.0935","113.9448","03-04-2020.csv"
"Ningxia","Mainland China","2020-03-04T01:33:07","75","0","69","37.2692","106.1655","03-04-2020.csv"
"","Kuwait","2020-03-02T20:33:02","56","0","0","29.5000","47.7500","03-04-2020.csv"
"","Norway","2020-03-04T19:33:03","56","0","0","60.4720","8.4689","03-04-2020.csv"
"","Bahrain","2020-03-04T19:33:03","52","0","0","26.0275","50.5500","03-04-2020.csv"
"","Malaysia","2020-03-04T13:03:08","50","0","22","2.5000","112.5000","03-04-2020.csv"
"Unassigned Location (From Diamond Princess)","US","2020-03-02T19:53:03","45","0","0","35.4437","139.6380","03-04-2020.csv"
"","Thailand","2020-03-02T06:23:04","43","1","31","15.0000","101.0000","03-04-2020.csv"
"Taiwan","Taiwan","2020-03-03T06:43:02","42","1","12","23.7000","121.0000","03-04-2020.csv"
"","Netherlands","2020-03-04T12:33:03","38","0","0","52.1326","5.2913","03-04-2020.csv"
"","Iraq","2020-03-04T20:43:02","35","2","0","33.0000","44.0000","03-04-2020.csv"
"","Sweden","2020-03-04T12:33:03","35","0","0","63.0000","16.0000","03-04-2020.csv"
"King County, WA","US","2020-03-04T19:53:02","31","9","1","47.5480","-121.9836","03-04-2020.csv"
"","Austria","2020-03-04T19:33:03","29","0","0","47.5162","14.5501","03-04-2020.csv"
