Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,CSV File Name,Date Reported
Hubei,China,2020-03-21T10:13:08,67800,3139,58946,30.9756,112.2707,03-21-2020.csv,03-21-2020
,Italy,2020-03-21T17:43:03,53578,4825,6072,41.8719,12.5674,03-21-2020.csv,03-21-2020
,Spain,2020-03-21T13:13:30,25374,1375,2125,40.4637,-3.7492,03-21-2020.csv,03-21-2020
,Germany,2020-03-21T20:43:02,22213,84,233,51.1657,10.4515,03-21-2020.csv,03-21-2020
,Iran,2020-03-21T11:13:12,20610,1556,7635,32.4279,53.688,03-21-2020.csv,03-21-2020
France,France,2020-03-21T20:43:02,14282,562,12,46.2276,2.2137,03-21-2020.csv,03-21-2020
New York,US,2020-03-21T22:43:04,11710,60,0,42.1657,-74.9481,03-21-2020.csv,03-21-2020
,"Korea, South",2020-03-21T11:13:12,8799,102,1540,35.9078,127.7669,03-21-2020.csv,03-21-2020
,Switzerland,2020-03-21T20:43:02,6575,75,15,46.8182,8.2275,03-21-2020.csv,03-21-2020
United Kingdom,United Kingdom,2020-03-21T20:43:03,5018,233,65,55.3781,-3.436,03-21-2020.csv,03-21-2020
Netherlands,Netherlands,2020-03-21T14:43:04,3631,136,2,52.1326,5.2913,03-21-2020.csv,03-21-2020
,Belgium,2020-03-21T11:13:12,2815,67,263,50.5039,4.4699,03-21-2020.csv,03-21-2020
,Austria,2020-03-21T14:43:03,2814,8,9,47.5162,14.5501,03-21-2020.csv,03-21-2020
,Norway,2020-03-21T17:13:07,2118,7,1,60.472,8.4689,03-21-2020.csv,03-21-2020
Washington,US,2020-03-21T22:43:04,1793,94,0,47.4009,-121.4905,03-21-2020.csv,03-21-2020
,Sweden,2020-03-21T14:43:03,1763,20,16,60.1282,18.6435,03-21-2020.csv,03-21-2020
Guangdong,China,2020-03-21T12:43:08,1400,8,1325,23.3417,113.4244,03-21-2020.csv,03-21-2020
