"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude","CSV File Name"
"Hubei","Mainland China","2020-03-09T14:33:03","67743","3008","46488","30.9756","112.2707","03-09-2020.csv"
"","Italy","2020-03-09T18:13:11","9172","463","724","43.0000","12.0000","03-09-2020.csv"
"","South Korea","2020-03-09T09:03:03","7478","53","118","36.0000","128.0000","03-09-2020.csv"
"","Iran","2020-03-09T10:53:03","7161","237","2394","32.0000","53.0000","03-09-2020.csv"
"Guangdong","Mainland China","2020-03-09T01:43:01","1352","8","1260","23.3417","113.4244","03-09-2020.csv"
"Henan","Mainland China","2020-03-08T05:03:02","1272","22","1247","33.8820","113.6140","03-09-2020.csv"
"Zhejiang","Mainland China","2020-03-09T09:43:03","1215","1","1176","29.1832","120.0934","03-09-2020.csv"
"","France","2020-03-09T00:43:03","1209","19","12","47.0000","2.0000","03-09-2020.csv"
"","Germany","2020-03-09T18:13:11","1176","2","18","51.0000","9.0000","03-09-2020.csv"
"","Spain","2020-03-09T18:13:11","1073","28","32","40.0000","-4.0000","03-09-2020.csv"
"Hunan","Mainland China","2020-03-09T01:33:06","1018","4","979","27.6104","111.7088","03-09-2020.csv"
"Anhui","Mainland China","2020-03-08T05:13:06","990","6","984","31.8257","117.2264","03-09-2020.csv"
"Jiangxi","Mainland China","2020-03-09T01:53:01","935","1","923","27.6140","115.7221","03-09-2020.csv"
"Shandong","Mainland China","2020-03-09T10:13:06","758","6","700","36.3427","118.1498","03-09-2020.csv"
"Diamond Princess cruise ship","Others","2020-03-06T01:29:39","696","6","40","35.4437","139.6380","03-09-2020.csv"
"Jiangsu","Mainland China","2020-03-09T08:53:03","631","0","621","32.9711","119.4550","03-09-2020.csv"
"Chongqing","Mainland China","2020-03-09T23:13:03","576","6","542","30.0572","107.8740","03-09-2020.csv"
"Sichuan","Mainland China","2020-03-09T08:53:03","539","3","466","30.6171","102.7103","03-09-2020.csv"
"","Japan","2020-03-09T09:13:17","511","17","76","36.0000","138.0000","03-09-2020.csv"
"Heilongjiang","Mainland China","2020-03-09T14:33:03","481","13","430","47.8620","127.7615","03-09-2020.csv"
"Beijing","Mainland China","2020-03-09T01:53:01","428","8","315","40.1824","116.4142","03-09-2020.csv"
"","Switzerland","2020-03-09T11:33:10","374","2","3","46.8182","8.2275","03-09-2020.csv"
"Shanghai","Mainland China","2020-03-09T04:03:11","342","3","315","31.2020","121.4491","03-09-2020.csv"
"","Netherlands","2020-03-09T18:13:11","321","3","0","52.1326","5.2913","03-09-2020.csv"
"","UK","2020-03-09T18:33:03","321","4","18","55.0000","-3.0000","03-09-2020.csv"
"Hebei","Mainland China","2020-03-07T13:03:05","318","6","307","38.0428","114.5149","03-09-2020.csv"
"Fujian","Mainland China","2020-03-07T13:03:05","296","1","295","26.0789","117.9874","03-09-2020.csv"
"Guangxi","Mainland China","2020-03-09T00:23:09","252","2","230","23.8298","108.7881","03-09-2020.csv"
"","Sweden","2020-03-09T18:33:03","248","0","1","63.0000","16.0000","03-09-2020.csv"
"Shaanxi","Mainland China","2020-03-08T14:43:03","245","1","227","35.1917","108.8701","03-09-2020.csv"
"","Belgium","2020-03-09T10:43:05","239","0","1","50.8333","4.0000","03-09-2020.csv"
"","Norway","2020-03-09T18:33:03","205","0","1","60.4720","8.4689","03-09-2020.csv"
"Yunnan","Mainland China","2020-03-06T03:23:06","174","2","170","24.9740","101.4870","03-09-2020.csv"
"Hainan","Mainland China","2020-03-08T04:33:02","168","6","159","19.1959","109.7453","03-09-2020.csv"
"","Singapore","2020-03-08T13:33:13","150","0","78","1.2833","103.8333","03-09-2020.csv"
"Guizhou","Mainland China","2020-03-09T01:13:05","146","2","123","26.8154","106.8748","03-09-2020.csv"
"Tianjin","Mainland China","2020-03-09T10:13:06","136","3","130","39.3054","117.3230","03-09-2020.csv"
"Shanxi","Mainland China","2020-03-09T11:43:02","133","0","127","37.5777","112.2922","03-09-2020.csv"
"","Austria","2020-03-09T18:33:03","131","0","2","47.5162","14.5501","03-09-2020.csv"
"Liaoning","Mainland China","2020-03-08T05:13:06","125","1","109","41.2956","122.6085","03-09-2020.csv"
"Gansu","Mainland China","2020-03-09T14:33:03","124","2","88","36.0611","103.8343","03-09-2020.csv"
"","Malaysia","2020-03-09T09:43:03","117","0","24","2.5000","112.5000","03-09-2020.csv"
"Hong Kong","Hong Kong","2020-03-09T10:03:17","115","3","59","22.3000","114.2000","03-09-2020.csv"
"Westchester County, NY","US","2020-03-09T17:13:16","98","0","0","41.1220","-73.7949","03-09-2020.csv"
"","Bahrain","2020-03-09T10:03:17","95","0","14","26.0275","50.5500","03-09-2020.csv"
"Jilin","Mainland China","2020-03-09T14:33:03","93","1","91","43.6661","126.1923","03-09-2020.csv"
"","Denmark","2020-03-09T18:13:11","90","0","1","56.2639","9.5018","03-09-2020.csv"
"King County, WA","US","2020-03-08T20:23:09","83","17","1","47.5480","-121.9836","03-09-2020.csv"
"Xinjiang","Mainland China","2020-03-08T05:33:02","76","3","73","41.1129","85.2401","03-09-2020.csv"
"Inner Mongolia","Mainland China","2020-03-08T05:13:06","75","1","70","44.0935","113.9448","03-09-2020.csv"
"Ningxia","Mainland China","2020-03-06T12:53:03","75","0","71","37.2692","106.1655","03-09-2020.csv"
"","Greece","2020-03-08T17:23:07","73","0","0","39.0742","21.8243","03-09-2020.csv"
"","Kuwait","2020-03-08T15:33:04","64","0","1","29.5000","47.7500","03-09-2020.csv"
"","Iraq","2020-03-09T23:33:02","60","6","9","33.0000","44.0000","03-09-2020.csv"
"","Iceland","2020-03-09T10:03:17","58","0","0","64.9631","-19.0208","03-09-2020.csv"
"","Egypt","2020-03-09T10:03:17","55","1","12","26.0000","30.0000","03-09-2020.csv"
"","Thailand","2020-03-07T10:13:23","50","1","31","15.0000","101.0000","03-09-2020.csv"
"New South Wales","Australia","2020-03-09T18:53:13","48","3","4","-33.8688","151.2093","03-09-2020.csv"
"Taiwan","Taiwan","2020-03-09T00:33:14","45","1","15","23.7000","121.0000","03-09-2020.csv"
"Unassigned Location (From Diamond Princess)","US","2020-03-02T19:53:03","45","0","0","35.4437","139.6380","03-09-2020.csv"
"","United Arab Emirates","2020-03-07T10:13:22","45","0","7","24.0000","54.0000","03-09-2020.csv"
"","India","2020-03-09T09:13:17","43","0","3","21.0000","78.0000","03-09-2020.csv"
"","Israel","2020-03-08T21:03:03","39","0","2","31.0000","35.0000","03-09-2020.csv"
"Santa Clara County, CA","US","2020-03-08T21:23:03","38","0","1","37.3541","-121.9552","03-09-2020.csv"
"","San Marino","2020-03-08T14:23:10","36","1","0","43.9424","12.4578","03-09-2020.csv"
"Ontario","Canada","2020-03-09T17:53:24","34","0","4","51.2538","-85.3232","03-09-2020.csv"
"British Columbia","Canada","2020-03-09T22:43:25","32","1","4","53.7267","-127.6476","03-09-2020.csv"
"","Lebanon","2020-03-08T18:13:19","32","0","1","33.8547","35.8623","03-09-2020.csv"
"","Czech Republic","2020-03-08T19:53:03","31","0","0","49.8175","15.4730","03-09-2020.csv"
"Snohomish County, WA","US","2020-03-08T21:43:03","31","1","0","48.0330","-121.8339","03-09-2020.csv"
"","Finland","2020-03-09T09:23:03","30","0","1","64.0000","26.0000","03-09-2020.csv"
"","Portugal","2020-03-08T19:53:03","30","0","0","39.3999","-8.2245","03-09-2020.csv"
"","Vietnam","2020-03-08T19:53:03","30","0","16","16.0000","108.0000","03-09-2020.csv"
"","Brazil","2020-03-09T10:13:06","25","0","0","-14.2350","-51.9253","03-09-2020.csv"
"","Palestine","2020-03-07T02:23:06","22","0","0","31.9522","35.2332","03-09-2020.csv"
"","Ireland","2020-03-09T09:53:06","21","0","0","53.1424","-7.6921","03-09-2020.csv"
"Grand Princess Cruise Ship","US","2020-03-07T01:33:02","21","0","0","37.6489","-122.6655","03-09-2020.csv"
"","Algeria","2020-03-09T10:13:06","20","0","0","28.0339","1.6596","03-09-2020.csv"
