Location Name Key,Date Reported,Attribute,Cumulative Value,Change Since Prior Day,Latitude,Longitude,Country or Region,Province or State,CSV File Name,USA State County,FIPS USA State County code,Last Updated UTC,File Number,Row Number
"Jilin, China",01-22-2020,Active,0,,,,China,Jilin,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,18
"Jilin, China",01-22-2020,Confirmed,0,,,,China,Jilin,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,18
"Jilin, China",01-22-2020,Deaths,0,,,,China,Jilin,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,18
"Jilin, China",01-22-2020,Recovered,0,,,,China,Jilin,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,18
"Liaoning, China",01-22-2020,Active,2,,,,China,Liaoning,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,19
"Liaoning, China",01-22-2020,Confirmed,2,,,,China,Liaoning,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,19
"Liaoning, China",01-22-2020,Deaths,0,,,,China,Liaoning,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,19
"Liaoning, China",01-22-2020,Recovered,0,,,,China,Liaoning,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,19
"Chongqing, China",01-22-2020,Recovered,0,,,,China,Chongqing,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,2
"Chongqing, China",01-22-2020,Deaths,0,,,,China,Chongqing,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,2
"Chongqing, China",01-22-2020,Active,6,,,,China,Chongqing,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,2
"Chongqing, China",01-22-2020,Confirmed,6,,,,China,Chongqing,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,2
"Macau, Macau",01-22-2020,Active,1,,,,Macau,Macau,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,20
"Macau, Macau",01-22-2020,Confirmed,1,,,,Macau,Macau,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,20
"Macau, Macau",01-22-2020,Deaths,0,,,,Macau,Macau,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,20
"Macau, Macau",01-22-2020,Recovered,0,,,,Macau,Macau,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,20
"Ningxia, China",01-22-2020,Active,1,,,,China,Ningxia,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,21
"Ningxia, China",01-22-2020,Confirmed,1,,,,China,Ningxia,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,21
"Ningxia, China",01-22-2020,Deaths,0,,,,China,Ningxia,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,21
"Ningxia, China",01-22-2020,Recovered,0,,,,China,Ningxia,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,21
"Qinghai, China",01-22-2020,Recovered,0,,,,China,Qinghai,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,22
"Qinghai, China",01-22-2020,Deaths,0,,,,China,Qinghai,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,22
"Qinghai, China",01-22-2020,Active,0,,,,China,Qinghai,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,22
"Qinghai, China",01-22-2020,Confirmed,0,,,,China,Qinghai,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,22
"Shaanxi, China",01-22-2020,Active,0,,,,China,Shaanxi,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,23
"Shaanxi, China",01-22-2020,Confirmed,0,,,,China,Shaanxi,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,23
"Shaanxi, China",01-22-2020,Deaths,0,,,,China,Shaanxi,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,23
"Shaanxi, China",01-22-2020,Recovered,0,,,,China,Shaanxi,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,23
"Shandong, China",01-22-2020,Active,2,,,,China,Shandong,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,24
"Shandong, China",01-22-2020,Confirmed,2,,,,China,Shandong,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,24
"Shandong, China",01-22-2020,Deaths,0,,,,China,Shandong,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,24
"Shandong, China",01-22-2020,Recovered,0,,,,China,Shandong,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,24
"Shanghai, China",01-22-2020,Recovered,0,,,,China,Shanghai,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,25
"Shanghai, China",01-22-2020,Deaths,0,,,,China,Shanghai,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,25
"Shanghai, China",01-22-2020,Confirmed,9,,,,China,Shanghai,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,25
"Shanghai, China",01-22-2020,Active,9,,,,China,Shanghai,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,25
"Shanxi, China",01-22-2020,Active,1,,,,China,Shanxi,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,26
"Shanxi, China",01-22-2020,Confirmed,1,,,,China,Shanxi,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,26
"Shanxi, China",01-22-2020,Deaths,0,,,,China,Shanxi,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,26
"Shanxi, China",01-22-2020,Recovered,0,,,,China,Shanxi,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,26
"Sichuan, China",01-22-2020,Active,5,,,,China,Sichuan,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,27
"Sichuan, China",01-22-2020,Confirmed,5,,,,China,Sichuan,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,27
"Sichuan, China",01-22-2020,Deaths,0,,,,China,Sichuan,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,27
"Sichuan, China",01-22-2020,Recovered,0,,,,China,Sichuan,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,27
"Taiwan, Taiwan",01-22-2020,Recovered,0,,,,Taiwan,Taiwan,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,28
"Taiwan, Taiwan",01-22-2020,Deaths,0,,,,Taiwan,Taiwan,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,28
"Taiwan, Taiwan",01-22-2020,Confirmed,1,,,,Taiwan,Taiwan,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,28
"Taiwan, Taiwan",01-22-2020,Active,1,,,,Taiwan,Taiwan,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,28
"Tianjin, China",01-22-2020,Active,4,,,,China,Tianjin,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,29
"Tianjin, China",01-22-2020,Confirmed,4,,,,China,Tianjin,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,29
"Tianjin, China",01-22-2020,Deaths,0,,,,China,Tianjin,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,29
"Tianjin, China",01-22-2020,Recovered,0,,,,China,Tianjin,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,29
"Fujian, China",01-22-2020,Active,1,,,,China,Fujian,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,3
"Fujian, China",01-22-2020,Confirmed,1,,,,China,Fujian,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,3
"Fujian, China",01-22-2020,Deaths,0,,,,China,Fujian,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,3
"Fujian, China",01-22-2020,Recovered,0,,,,China,Fujian,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,3
"Tibet, China",01-22-2020,Recovered,0,,,,China,Tibet,01-22-2020.csv,,,2020-01-22T17:00:00Z,0,30
