Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Hubei,Mainland China,2020-02-07T23:43:02,24953,699,1115,02-07-2020.csv,02-07-2020
Guangdong,Mainland China,2020-02-07T10:13:06,1034,1,88,02-07-2020.csv,02-07-2020
Zhejiang,Mainland China,2020-02-07T11:33:11,1006,0,123,02-07-2020.csv,02-07-2020
Henan,Mainland China,2020-02-07T14:03:12,914,3,86,02-07-2020.csv,02-07-2020
Hunan,Mainland China,2020-02-07T11:33:11,772,0,112,02-07-2020.csv,02-07-2020
Anhui,Mainland China,2020-02-07T05:13:07,665,0,47,02-07-2020.csv,02-07-2020
Jiangxi,Mainland China,2020-02-07T01:23:02,661,0,45,02-07-2020.csv,02-07-2020
Chongqing,Mainland China,2020-02-07T23:33:02,426,2,31,02-07-2020.csv,02-07-2020
Jiangsu,Mainland China,2020-02-07T14:03:12,408,0,43,02-07-2020.csv,02-07-2020
Shandong,Mainland China,2020-02-07T11:33:11,386,0,37,02-07-2020.csv,02-07-2020
Sichuan,Mainland China,2020-02-07T08:23:09,344,1,42,02-07-2020.csv,02-07-2020
Beijing,Mainland China,2020-02-07T03:23:02,297,1,33,02-07-2020.csv,02-07-2020
Heilongjiang,Mainland China,2020-02-07T07:43:02,277,3,12,02-07-2020.csv,02-07-2020
Shanghai,Mainland China,2020-02-07T06:14:15,277,1,30,02-07-2020.csv,02-07-2020
Fujian,Mainland China,2020-02-07T13:23:03,224,0,20,02-07-2020.csv,02-07-2020
Shaanxi,Mainland China,2020-02-07T08:23:09,184,0,17,02-07-2020.csv,02-07-2020
Guangxi,Mainland China,2020-02-07T00:33:02,172,0,17,02-07-2020.csv,02-07-2020
Hebei,Mainland China,2020-02-07T12:03:04,172,1,22,02-07-2020.csv,02-07-2020
Yunnan,Mainland China,2020-02-07T23:23:04,138,0,12,02-07-2020.csv,02-07-2020
Hainan,Mainland China,2020-02-07T12:33:02,117,2,10,02-07-2020.csv,02-07-2020
Shanxi,Mainland China,2020-02-07T23:43:02,104,0,15,02-07-2020.csv,02-07-2020
Liaoning,Mainland China,2020-02-07T15:33:03,99,0,7,02-07-2020.csv,02-07-2020
Guizhou,Mainland China,2020-02-07T11:13:07,81,1,6,02-07-2020.csv,02-07-2020
