Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,CSV File Name,Date Reported
Hubei,China,2020-03-20T07:43:02,67800,3133,58382,30.9756,112.2707,03-20-2020.csv,03-20-2020
,Italy,2020-03-20T17:43:03,47021,4032,4440,41.8719,12.5674,03-20-2020.csv,03-20-2020
,Spain,2020-03-20T17:43:03,20410,1043,1588,40.4637,-3.7492,03-20-2020.csv,03-20-2020
,Germany,2020-03-20T20:13:15,19848,67,180,51.1657,10.4515,03-20-2020.csv,03-20-2020
,Iran,2020-03-20T15:13:21,19644,1433,6745,32.4279,53.6880,03-20-2020.csv,03-20-2020
France,France,2020-03-20T22:43:03,12612,450,12,46.2276,2.2137,03-20-2020.csv,03-20-2020
,"Korea, South",2020-03-20T02:13:46,8652,94,1540,35.9078,127.7669,03-20-2020.csv,03-20-2020
New York,US,2020-03-20T22:14:43,8310,42,0,42.1657,-74.9481,03-20-2020.csv,03-20-2020
,Switzerland,2020-03-20T18:13:09,5294,54,15,46.8182,8.2275,03-20-2020.csv,03-20-2020
United Kingdom,United Kingdom,2020-03-20T20:13:18,3983,177,65,55.3781,-3.4360,03-20-2020.csv,03-20-2020
Netherlands,Netherlands,2020-03-20T18:13:12,2994,106,2,52.1326,5.2913,03-20-2020.csv,03-20-2020
,Austria,2020-03-20T15:43:24,2388,6,9,47.5162,14.5501,03-20-2020.csv,03-20-2020
,Belgium,2020-03-20T14:43:04,2257,37,1,50.5039,4.4699,03-20-2020.csv,03-20-2020
,Norway,2020-03-20T18:13:09,1914,7,1,60.4720,8.4689,03-20-2020.csv,03-20-2020
,Sweden,2020-03-20T15:43:24,1639,16,16,60.1282,18.6435,03-20-2020.csv,03-20-2020
Washington,US,2020-03-20T23:43:03,1524,83,0,47.4009,-121.4905,03-20-2020.csv,03-20-2020
Guangdong,China,2020-03-20T09:13:30,1395,8,1323,23.3417,113.4244,03-20-2020.csv,03-20-2020
Henan,China,2020-03-14T09:53:08,1273,22,1250,33.8820,113.6140,03-20-2020.csv,03-20-2020
Denmark,Denmark,2020-03-20T18:13:12,1255,9,1,56.2639,9.5018,03-20-2020.csv,03-20-2020
Zhejiang,China,2020-03-20T02:43:09,1234,1,1219,29.1832,120.0934,03-20-2020.csv,03-20-2020
California,US,2020-03-20T23:43:03,1177,23,0,36.1162,-119.6816,03-20-2020.csv,03-20-2020
,Malaysia,2020-03-20T18:13:09,1030,3,87,4.2105,101.9758,03-20-2020.csv,03-20-2020
,Portugal,2020-03-20T15:43:24,1020,6,5,39.3999,-8.2245,03-20-2020.csv,03-20-2020
Hunan,China,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088,03-20-2020.csv,03-20-2020
Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264,03-20-2020.csv,03-20-2020
,Japan,2020-03-20T14:13:08,963,33,191,36.2048,138.2529,03-20-2020.csv,03-20-2020
Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.6140,115.7221,03-20-2020.csv,03-20-2020
New Jersey,US,2020-03-20T21:13:32,890,11,0,40.2989,-74.5210,03-20-2020.csv,03-20-2020
,Czechia,2020-03-20T20:13:15,833,0,4,49.8175,15.4730,03-20-2020.csv,03-20-2020
,Brazil,2020-03-20T20:13:16,793,11,2,-14.2350,-51.9253,03-20-2020.csv,03-20-2020
Shandong,China,2020-03-20T01:13:16,762,7,748,36.3427,118.1498,03-20-2020.csv,03-20-2020
Diamond Princess,Cruise Ship,2020-03-18T10:33:04,712,7,325,35.4498,139.6649,03-20-2020.csv,03-20-2020
,Israel,2020-03-20T14:43:04,705,0,14,31.0461,34.8516,03-20-2020.csv,03-20-2020
,Ireland,2020-03-20T20:13:16,683,3,5,53.1424,-7.6921,03-20-2020.csv,03-20-2020
Jiangsu,China,2020-03-15T01:53:02,631,0,631,32.9711,119.4550,03-20-2020.csv,03-20-2020
Illinois,US,2020-03-20T21:13:32,585,5,0,40.3495,-88.9861,03-20-2020.csv,03-20-2020
Chongqing,China,2020-03-15T03:53:04,576,6,570,30.0572,107.8740,03-20-2020.csv,03-20-2020
Florida,US,2020-03-20T23:43:03,563,10,0,27.7663,-81.6868,03-20-2020.csv,03-20-2020
Michigan,US,2020-03-20T21:13:32,552,3,0,43.3266,-84.5361,03-20-2020.csv,03-20-2020
Sichuan,China,2020-03-20T01:43:03,541,3,536,30.6171,102.7103,03-20-2020.csv,03-20-2020
Louisiana,US,2020-03-20T23:43:03,538,14,0,31.1695,-91.8678,03-20-2020.csv,03-20-2020
,Pakistan,2020-03-20T20:13:16,501,3,13,30.3753,69.3451,03-20-2020.csv,03-20-2020
,Greece,2020-03-20T16:13:10,495,6,19,39.0742,21.8243,03-20-2020.csv,03-20-2020
Beijing,China,2020-03-20T06:43:05,491,8,390,40.1824,116.4142,03-20-2020.csv,03-20-2020
Heilongjiang,China,2020-03-20T02:13:46,484,13,463,47.8620,127.7615,03-20-2020.csv,03-20-2020
,Luxembourg,2020-03-20T14:43:04,484,4,0,49.8153,6.1296,03-20-2020.csv,03-20-2020
,Qatar,2020-03-20T20:13:16,470,0,10,25.3548,51.1839,03-20-2020.csv,03-20-2020
,Finland,2020-03-20T15:43:24,450,0,10,61.9241,25.7482,03-20-2020.csv,03-20-2020
,Chile,2020-03-20T20:13:17,434,0,6,-35.6751,-71.5430,03-20-2020.csv,03-20-2020
,Poland,2020-03-20T20:13:17,425,5,1,51.9194,19.1451,03-20-2020.csv,03-20-2020
Georgia,US,2020-03-20T19:13:30,420,13,0,33.0406,-83.6431,03-20-2020.csv,03-20-2020
Massachusetts,US,2020-03-20T23:43:03,413,1,0,42.2302,-71.5301,03-20-2020.csv,03-20-2020
,Iceland,2020-03-20T15:13:21,409,0,5,64.9631,-19.0208,03-20-2020.csv,03-20-2020
Texas,US,2020-03-20T23:43:03,394,5,0,31.0545,-97.5635,03-20-2020.csv,03-20-2020
,Singapore,2020-03-20T15:43:24,385,0,124,1.3521,103.8198,03-20-2020.csv,03-20-2020
Shanghai,China,2020-03-20T00:43:02,371,3,326,31.2020,121.4491,03-20-2020.csv,03-20-2020
,Indonesia,2020-03-20T14:43:04,369,32,15,-0.7893,113.9213,03-20-2020.csv,03-20-2020
,Ecuador,2020-03-20T20:43:02,367,5,0,-1.8312,-78.1834,03-20-2020.csv,03-20-2020
Colorado,US,2020-03-20T23:43:03,363,4,0,39.0598,-105.3111,03-20-2020.csv,03-20-2020
,Turkey,2020-03-20T01:43:03,359,4,0,38.9637,35.2433,03-20-2020.csv,03-20-2020
New South Wales,Australia,2020-03-20T21:13:30,353,6,4,-33.8688,151.2093,03-20-2020.csv,03-20-2020
,Saudi Arabia,2020-03-20T20:43:02,344,0,8,23.8859,45.0792,03-20-2020.csv,03-20-2020
,Slovenia,2020-03-20T15:43:24,341,1,0,46.1512,14.9955,03-20-2020.csv,03-20-2020
,Thailand,2020-03-20T14:13:08,322,1,42,15.8700,100.9925,03-20-2020.csv,03-20-2020
Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149,03-20-2020.csv,03-20-2020
Ontario,Canada,2020-03-20T16:13:25,308,2,5,51.2538,-85.3232,03-20-2020.csv,03-20-2020
,Romania,2020-03-20T15:13:21,308,0,25,45.9432,24.9668,03-20-2020.csv,03-20-2020
Pennsylvania,US,2020-03-20T23:43:03,303,1,0,40.5908,-77.2098,03-20-2020.csv,03-20-2020
Fujian,China,2020-03-20T02:43:09,299,1,295,26.0789,117.9874,03-20-2020.csv,03-20-2020
,Bahrain,2020-03-20T14:43:04,285,1,100,26.0667,50.5577,03-20-2020.csv,03-20-2020
,Egypt,2020-03-20T20:43:02,285,8,39,26.8206,30.8025,03-20-2020.csv,03-20-2020
,Estonia,2020-03-20T14:43:04,283,0,1,58.5953,25.0136,03-20-2020.csv,03-20-2020
British Columbia,Canada,2020-03-20T03:13:18,271,8,4,53.7267,-127.6476,03-20-2020.csv,03-20-2020
Hong Kong,China,2020-03-20T09:43:03,256,4,98,22.3000,114.2000,03-20-2020.csv,03-20-2020
Guangxi,China,2020-03-20T00:43:02,254,2,250,23.8298,108.7881,03-20-2020.csv,03-20-2020
,Russia,2020-03-20T15:43:24,253,1,9,61.5240,105.3188,03-20-2020.csv,03-20-2020
Shaanxi,China,2020-03-20T01:13:16,247,3,237,35.1917,108.8701,03-20-2020.csv,03-20-2020
,India,2020-03-20T15:13:21,244,5,20,20.5937,78.9629,03-20-2020.csv,03-20-2020
,Peru,2020-03-20T14:13:08,234,3,1,-9.1900,-75.0152,03-20-2020.csv,03-20-2020
Tennessee,US,2020-03-20T23:43:03,233,0,0,35.7478,-86.6923,03-20-2020.csv,03-20-2020
,Philippines,2020-03-20T14:43:04,230,18,8,12.8797,121.7740,03-20-2020.csv,03-20-2020
,Iraq,2020-03-20T20:43:02,208,17,49,33.2232,43.6793,03-20-2020.csv,03-20-2020
Wisconsin,US,2020-03-20T21:13:29,207,3,0,44.2685,-89.6165,03-20-2020.csv,03-20-2020
,South Africa,2020-03-20T14:43:04,202,0,0,-30.5595,22.9375,03-20-2020.csv,03-20-2020
Connecticut,US,2020-03-20T21:13:29,194,3,0,41.5978,-72.7554,03-20-2020.csv,03-20-2020
Queensland,Australia,2020-03-20T21:13:30,184,0,8,-28.0167,153.4000,03-20-2020.csv,03-20-2020
