CsvFileName,DateLastModifiedUTC,PeriodEnding,NeedsUpdating,CSVRawURL,CSVPageURL,FileNumber
02-10-2020.csv,02/14/2020 08:59:08,02-10-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-10-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-10-2020.csv,19
02-11-2020.csv,02/14/2020 08:59:08,02-11-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-11-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-11-2020.csv,20
02-12-2020.csv,02/14/2020 08:59:08,02-12-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-12-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-12-2020.csv,21
02-13-2020.csv,02/14/2020 08:59:08,02-13-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-13-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-13-2020.csv,22
02-14-2020.csv,02/14/2020 17:34:47,02-14-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-14-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-14-2020.csv,23
02-15-2020.csv,02/15/2020 17:14:02,02-15-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-15-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-15-2020.csv,24
02-16-2020.csv,02/16/2020 16:17:58,02-16-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-16-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-16-2020.csv,25
02-17-2020.csv,02/17/2020 16:33:15,02-17-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-17-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-17-2020.csv,26
02-18-2020.csv,02/19/2020 16:26:55,02-18-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-18-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-18-2020.csv,27
02-19-2020.csv,02/19/2020 16:03:02,02-19-2020,False,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-19-2020.csv,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports/02-19-2020.csv,28
