"CsvFileName","PeriodEnding","CSVRawURL","CSVPageURL","DateLastModifiedUTC","FileNumber","NeedsUpdating","Source_Type"
"02-08-2020.csv","02-08-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-08-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-08-2020.csv","2020-02-08T00:00:00Z","17","False","csse_covid_19_daily_reports"
"02-09-2020.csv","02-09-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-09-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-09-2020.csv","2020-02-09T00:00:00Z","18","False","csse_covid_19_daily_reports"
"02-10-2020.csv","02-10-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-10-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-10-2020.csv","2020-02-10T00:00:00Z","19","False","csse_covid_19_daily_reports"
"02-11-2020.csv","02-11-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-11-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-11-2020.csv","2020-02-11T00:00:00Z","20","False","csse_covid_19_daily_reports"
"02-12-2020.csv","02-12-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-12-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-12-2020.csv","2020-02-12T00:00:00Z","21","False","csse_covid_19_daily_reports"
"02-13-2020.csv","02-13-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-13-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-13-2020.csv","2020-02-13T00:00:00Z","22","False","csse_covid_19_daily_reports"
"02-14-2020.csv","02-14-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-14-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-14-2020.csv","2020-02-14T00:00:00Z","23","False","csse_covid_19_daily_reports"
"02-15-2020.csv","02-15-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-15-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-15-2020.csv","2020-02-15T00:00:00Z","24","False","csse_covid_19_daily_reports"
"02-16-2020.csv","02-16-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-16-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-16-2020.csv","2020-02-16T00:00:00Z","25","False","csse_covid_19_daily_reports"
"02-17-2020.csv","02-17-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-17-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-17-2020.csv","2020-02-17T00:00:00Z","26","False","csse_covid_19_daily_reports"
"02-18-2020.csv","02-18-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-18-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-18-2020.csv","2020-02-18T00:00:00Z","27","False","csse_covid_19_daily_reports"
"02-19-2020.csv","02-19-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-19-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-19-2020.csv","2020-02-19T00:00:00Z","28","False","csse_covid_19_daily_reports"
"02-20-2020.csv","02-20-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-20-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-20-2020.csv","2020-02-20T00:00:00Z","29","False","csse_covid_19_daily_reports"
"02-21-2020.csv","02-21-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-21-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-21-2020.csv","2020-02-21T00:00:00Z","30","False","csse_covid_19_daily_reports"
"02-22-2020.csv","02-22-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-22-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-22-2020.csv","2020-02-22T00:00:00Z","31","False","csse_covid_19_daily_reports"
"02-23-2020.csv","02-23-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-23-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-23-2020.csv","2020-02-23T00:00:00Z","32","False","csse_covid_19_daily_reports"
"02-24-2020.csv","02-24-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-24-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-24-2020.csv","2020-02-24T00:00:00Z","33","False","csse_covid_19_daily_reports"
"02-25-2020.csv","02-25-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-25-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-25-2020.csv","2020-02-25T00:00:00Z","34","False","csse_covid_19_daily_reports"
"02-26-2020.csv","02-26-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-26-2020.csv","2020-02-26T00:00:00Z","35","False","csse_covid_19_daily_reports"
"02-27-2020.csv","02-27-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-27-2020.csv","2020-02-27T00:00:00Z","36","False","csse_covid_19_daily_reports"
"02-28-2020.csv","02-28-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-28-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-28-2020.csv","2020-02-28T00:00:00Z","37","False","csse_covid_19_daily_reports"
"02-29-2020.csv","02-29-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/02-29-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports02-29-2020.csv","2020-02-29T00:00:00Z","38","False","csse_covid_19_daily_reports"
"03-01-2020.csv","03-01-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/03-01-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports03-01-2020.csv","2020-03-01T00:00:00Z","39","False","csse_covid_19_daily_reports"
"03-02-2020.csv","03-02-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/03-02-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports03-02-2020.csv","2020-03-02T00:00:00Z","40","False","csse_covid_19_daily_reports"
"03-03-2020.csv","03-03-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/03-03-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports03-03-2020.csv","2020-03-03T00:00:00Z","41","False","csse_covid_19_daily_reports"
"03-04-2020.csv","03-04-2020","https://raw.githubusercontent.com/CSSEGISandData/COVID-19/master/csse_covid_19_data/csse_covid_19_daily_reports/03-04-2020.csv","https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_daily_reports03-04-2020.csv","2020-03-04T00:00:00Z","42","False","csse_covid_19_daily_reports"
