"Location Name Key","Event First CSV File Name","Event First Location Name Key","Event First Date","Event First Value","Confirmed First CSV File Name","Confirmed First Location Name Key","Confirmed First Date","Confirmed First Value","Deaths First CSV File Name","Deaths First Location Name Key","Deaths First Date","Deaths First Value","Recovered First CSV File Name","Recovered First Location Name Key","Recovered First Date","Recovered First Value","Active First CSV File Name","Active First Location Name Key","Active First Date","Active First Value"
"Alamosa, CO, USA","03-28-2020.csv","Alamosa, CO, USA","03-28-2020","1","03-28-2020.csv","Alamosa, CO, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Alamosa, CO, USA","03-28-2020","1"
"Albania","03-09-2020.csv","Albania","03-09-2020","2","03-09-2020.csv","Albania","03-09-2020","2","03-11-2020.csv","Albania","03-11-2020","1","03-21-2020.csv","Albania","03-21-2020","2","03-09-2020.csv","Albania","03-09-2020","2"
"Albany, NY, USA","03-22-2020.csv","Albany, NY, USA","03-22-2020","123","03-22-2020.csv","Albany, NY, USA","03-22-2020","123","03-29-2020.csv","Albany, NY, USA","03-29-2020","1",,,,,"03-22-2020.csv","Albany, NY, USA","03-22-2020","123"
"Albany, WY, USA","03-25-2020.csv","Albany, WY, USA","03-25-2020","1","03-25-2020.csv","Albany, WY, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Albany, WY, USA","03-25-2020","1"
"Albemarle, VA, USA","03-22-2020.csv","Albemarle, VA, USA","03-22-2020","2","03-22-2020.csv","Albemarle, VA, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Albemarle, VA, USA","03-22-2020","2"
"Alberta, Canada","03-09-2020.csv","Alberta, Canada","03-09-2020","7","03-09-2020.csv","Alberta, Canada","03-09-2020","7","03-20-2020.csv","Alberta, Canada","03-20-2020","1",,,,,"03-09-2020.csv","Alberta, Canada","03-09-2020","7"
"Alcona, MI, USA",,,,,,,,,,,,,,,,,,,,
"Alcorn, MS, USA","03-28-2020.csv","Alcorn, MS, USA","03-28-2020","1","03-28-2020.csv","Alcorn, MS, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Alcorn, MS, USA","03-28-2020","1"
"Aleutians East, AK, USA",,,,,,,,,,,,,,,,,,,,
"Aleutians West, AK, USA",,,,,,,,,,,,,,,,,,,,
"Alexander, IL, USA",,,,,,,,,,,,,,,,,,,,
"Alexander, NC, USA","03-28-2020.csv","Alexander, NC, USA","03-28-2020","1","03-28-2020.csv","Alexander, NC, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Alexander, NC, USA","03-28-2020","1"
"Alexandria, VA, USA","03-22-2020.csv","Alexandria, VA, USA","03-22-2020","5","03-22-2020.csv","Alexandria, VA, USA","03-22-2020","5",,,,,,,,,"03-22-2020.csv","Alexandria, VA, USA","03-22-2020","5"
"Alfalfa, OK, USA",,,,,,,,,,,,,,,,,,,,
"Alger, MI, USA",,,,,,,,,,,,,,,,,,,,
"Algeria","02-25-2020.csv","Algeria","02-25-2020","1","02-25-2020.csv","Algeria","02-25-2020","1","03-12-2020.csv","Algeria","03-12-2020","1","03-12-2020.csv","Algeria","03-12-2020","8","02-25-2020.csv","Algeria","02-25-2020","1"
"Allamakee, IA, USA","03-22-2020.csv","Allamakee, IA, USA","03-22-2020","5","03-22-2020.csv","Allamakee, IA, USA","03-22-2020","5","03-27-2020.csv","Allamakee, IA, USA","03-27-2020","1",,,,,"03-22-2020.csv","Allamakee, IA, USA","03-22-2020","5"
"Allegan, MI, USA","03-22-2020.csv","Allegan, MI, USA","03-22-2020","1","03-22-2020.csv","Allegan, MI, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Allegan, MI, USA","03-22-2020","1"
"Allegany, MD, USA","04-02-2020.csv","Allegany, MD, USA","04-02-2020","1","04-02-2020.csv","Allegany, MD, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Allegany, MD, USA","04-02-2020","1"
"Allegany, NY, USA","03-22-2020.csv","Allegany, NY, USA","03-22-2020","2","03-22-2020.csv","Allegany, NY, USA","03-22-2020","2","03-31-2020.csv","Allegany, NY, USA","03-31-2020","1",,,,,"03-22-2020.csv","Allegany, NY, USA","03-22-2020","2"
"Alleghany, NC, USA","03-28-2020.csv","Alleghany, NC, USA","03-28-2020","1","03-28-2020.csv","Alleghany, NC, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Alleghany, NC, USA","03-28-2020","1"
"Alleghany, VA, USA","03-30-2020.csv","Alleghany, VA, USA","03-30-2020","1","03-30-2020.csv","Alleghany, VA, USA","03-30-2020","1",,,,,,,,,"03-30-2020.csv","Alleghany, VA, USA","03-30-2020","1"
"Allegheny, PA, USA","03-22-2020.csv","Allegheny, PA, USA","03-22-2020","40","03-22-2020.csv","Allegheny, PA, USA","03-22-2020","40","03-22-2020.csv","Allegheny, PA, USA","03-22-2020","1",,,,,"03-22-2020.csv","Allegheny, PA, USA","03-22-2020","39"
"Allen, IN, USA","03-22-2020.csv","Allen, IN, USA","03-22-2020","4","03-22-2020.csv","Allen, IN, USA","03-22-2020","4","03-23-2020.csv","Allen, IN, USA","03-23-2020","1",,,,,"03-22-2020.csv","Allen, IN, USA","03-22-2020","4"
"Allen, KS, USA",,,,,,,,,,,,,,,,,,,,
"Allen, KY, USA","03-25-2020.csv","Allen, KY, USA","03-25-2020","1","03-25-2020.csv","Allen, KY, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Allen, KY, USA","03-25-2020","1"
"Allen, LA, USA","03-23-2020.csv","Allen, LA, USA","03-23-2020","2","03-23-2020.csv","Allen, LA, USA","03-23-2020","2","04-02-2020.csv","Allen, LA, USA","04-02-2020","3",,,,,"03-23-2020.csv","Allen, LA, USA","03-23-2020","2"
"Allen, OH, USA","03-28-2020.csv","Allen, OH, USA","03-28-2020","2","03-28-2020.csv","Allen, OH, USA","03-28-2020","2",,,,,,,,,"03-28-2020.csv","Allen, OH, USA","03-28-2020","2"
"Allendale, SC, USA","04-01-2020.csv","Allendale, SC, USA","04-01-2020","1","04-01-2020.csv","Allendale, SC, USA","04-01-2020","1",,,,,,,,,"04-01-2020.csv","Allendale, SC, USA","04-01-2020","1"
"Alpena, MI, USA",,,,,,,,,,,,,,,,,,,,
"Alpine, CA, USA","04-01-2020.csv","Alpine, CA, USA","04-01-2020","1","04-01-2020.csv","Alpine, CA, USA","04-01-2020","1",,,,,,,,,"04-01-2020.csv","Alpine, CA, USA","04-01-2020","1"
"Amador, CA, USA","03-22-2020.csv","Amador, CA, USA","03-22-2020","1","03-22-2020.csv","Amador, CA, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Amador, CA, USA","03-22-2020","1"
"Amelia, VA, USA","03-26-2020.csv","Amelia, VA, USA","03-26-2020","1","03-26-2020.csv","Amelia, VA, USA","03-26-2020","1",,,,,,,,,"03-26-2020.csv","Amelia, VA, USA","03-26-2020","1"
"Amherst, VA, USA","03-22-2020.csv","Amherst, VA, USA","03-22-2020","1","03-22-2020.csv","Amherst, VA, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Amherst, VA, USA","03-22-2020","1"
"Amite, MS, USA","03-25-2020.csv","Amite, MS, USA","03-25-2020","1","03-25-2020.csv","Amite, MS, USA","03-25-2020","1","03-31-2020.csv","Amite, MS, USA","03-31-2020","1",,,,,"03-25-2020.csv","Amite, MS, USA","03-25-2020","1"
"Anchorage, AK, USA","03-22-2020.csv","Anchorage, AK, USA","03-22-2020","5","03-22-2020.csv","Anchorage, AK, USA","03-22-2020","5","03-28-2020.csv","Anchorage, AK, USA","03-28-2020","1",,,,,"03-22-2020.csv","Anchorage, AK, USA","03-22-2020","5"
"Anderson, KS, USA","04-02-2020.csv","Anderson, KS, USA","04-02-2020","1","04-02-2020.csv","Anderson, KS, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Anderson, KS, USA","04-02-2020","1"
"Anderson, KY, USA","03-22-2020.csv","Anderson, KY, USA","03-22-2020","1","03-22-2020.csv","Anderson, KY, USA","03-22-2020","1","03-22-2020.csv","Anderson, KY, USA","03-22-2020","1",,,,,"03-23-2020.csv","Anderson, KY, USA","03-23-2020","1"
