"Location Name Key","Event First CSV File Name","Event First Location Name Key","Event First Date","Event First Value","Confirmed First CSV File Name","Confirmed First Location Name Key","Confirmed First Date","Confirmed First Value","Deaths First CSV File Name","Deaths First Location Name Key","Deaths First Date","Deaths First Value","Recovered First CSV File Name","Recovered First Location Name Key","Recovered First Date","Recovered First Value","Active First CSV File Name","Active First Location Name Key","Active First Date","Active First Value"
"Forest, PA, USA","04-02-2020.csv","Forest, PA, USA","04-02-2020","1","04-02-2020.csv","Forest, PA, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Forest, PA, USA","04-02-2020","1"
"Forest, WI, USA",,,,,,,,,,,,,,,,,,,,
"Forrest, MS, USA","03-22-2020.csv","Forrest, MS, USA","03-22-2020","11","03-22-2020.csv","Forrest, MS, USA","03-22-2020","11","04-02-2020.csv","Forrest, MS, USA","04-02-2020","1",,,,,"03-22-2020.csv","Forrest, MS, USA","03-22-2020","11"
"Forsyth, GA, USA","03-22-2020.csv","Forsyth, GA, USA","03-22-2020","4","03-22-2020.csv","Forsyth, GA, USA","03-22-2020","4","03-28-2020.csv","Forsyth, GA, USA","03-28-2020","1",,,,,"03-22-2020.csv","Forsyth, GA, USA","03-22-2020","4"
"Forsyth, NC, USA","03-22-2020.csv","Forsyth, NC, USA","03-22-2020","12","03-22-2020.csv","Forsyth, NC, USA","03-22-2020","12","03-31-2020.csv","Forsyth, NC, USA","03-31-2020","1",,,,,"03-22-2020.csv","Forsyth, NC, USA","03-22-2020","12"
"Fort Bend, TX, USA","03-05-2020.csv","Fort Bend, TX, USA","03-05-2020","1","03-05-2020.csv","Fort Bend, TX, USA","03-05-2020","1","03-27-2020.csv","Fort Bend, TX, USA","03-27-2020","1",,,,,"03-05-2020.csv","Fort Bend, TX, USA","03-05-2020","1"
"Foster, ND, USA","03-25-2020.csv","Foster, ND, USA","03-25-2020","1","03-25-2020.csv","Foster, ND, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Foster, ND, USA","03-25-2020","1"
"Fountain, IN, USA","03-26-2020.csv","Fountain, IN, USA","03-26-2020","1","03-26-2020.csv","Fountain, IN, USA","03-26-2020","1","04-02-2020.csv","Fountain, IN, USA","04-02-2020","1",,,,,"03-26-2020.csv","Fountain, IN, USA","03-26-2020","1"
"France","01-24-2020.csv","France","01-24-2020","2","01-24-2020.csv","France","01-24-2020","2","02-15-2020.csv","France","02-15-2020","1","02-12-2020.csv","France","02-12-2020","2","01-24-2020.csv","France","01-24-2020","2"
"France, France","03-11-2020.csv","France, France","03-11-2020","2281","03-11-2020.csv","France, France","03-11-2020","2281","03-11-2020.csv","France, France","03-11-2020","48","03-11-2020.csv","France, France","03-11-2020","12","03-11-2020.csv","France, France","03-11-2020","2221"
"Franklin City, VA, USA","03-31-2020.csv","Franklin City, VA, USA","03-31-2020","1","03-31-2020.csv","Franklin City, VA, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Franklin City, VA, USA","03-31-2020","1"
"Franklin, AL, USA","03-23-2020.csv","Franklin, AL, USA","03-23-2020","1","03-23-2020.csv","Franklin, AL, USA","03-23-2020","1",,,,,,,,,"03-23-2020.csv","Franklin, AL, USA","03-23-2020","1"
"Franklin, AR, USA",,,,,,,,,,,,,,,,,,,,
"Franklin, FL, USA","04-03-2020.csv","Franklin, FL, USA","04-03-2020","1","04-03-2020.csv","Franklin, FL, USA","04-03-2020","1",,,,,,,,,"04-03-2020.csv","Franklin, FL, USA","04-03-2020","1"
"Franklin, GA, USA","03-27-2020.csv","Franklin, GA, USA","03-27-2020","1","03-27-2020.csv","Franklin, GA, USA","03-27-2020","1",,,,,,,,,"03-27-2020.csv","Franklin, GA, USA","03-27-2020","1"
"Franklin, IA, USA",,,,,,,,,,,,,,,,,,,,
"Franklin, ID, USA",,,,,,,,,,,,,,,,,,,,
"Franklin, IL, USA","03-27-2020.csv","Franklin, IL, USA","03-27-2020","1","03-27-2020.csv","Franklin, IL, USA","03-27-2020","1",,,,,,,,,"03-27-2020.csv","Franklin, IL, USA","03-27-2020","1"
"Franklin, IN, USA","03-22-2020.csv","Franklin, IN, USA","03-22-2020","4","03-22-2020.csv","Franklin, IN, USA","03-22-2020","4","03-26-2020.csv","Franklin, IN, USA","03-26-2020","1",,,,,"03-22-2020.csv","Franklin, IN, USA","03-22-2020","4"
"Franklin, KS, USA","03-22-2020.csv","Franklin, KS, USA","03-22-2020","1","03-22-2020.csv","Franklin, KS, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Franklin, KS, USA","03-22-2020","1"
"Franklin, KY, USA","03-22-2020.csv","Franklin, KY, USA","03-22-2020","1","03-22-2020.csv","Franklin, KY, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Franklin, KY, USA","03-22-2020","1"
"Franklin, LA, USA","03-28-2020.csv","Franklin, LA, USA","03-28-2020","4","03-28-2020.csv","Franklin, LA, USA","03-28-2020","4",,,,,,,,,"03-28-2020.csv","Franklin, LA, USA","03-28-2020","4"
"Franklin, MA, USA","03-22-2020.csv","Franklin, MA, USA","03-22-2020","6","03-22-2020.csv","Franklin, MA, USA","03-22-2020","6","03-26-2020.csv","Franklin, MA, USA","03-26-2020","1",,,,,"03-22-2020.csv","Franklin, MA, USA","03-22-2020","6"
"Franklin, ME, USA","03-26-2020.csv","Franklin, ME, USA","03-26-2020","1","03-26-2020.csv","Franklin, ME, USA","03-26-2020","1",,,,,,,,,"03-26-2020.csv","Franklin, ME, USA","03-26-2020","1"
"Franklin, MO, USA","03-25-2020.csv","Franklin, MO, USA","03-25-2020","3","03-25-2020.csv","Franklin, MO, USA","03-25-2020","3",,,,,,,,,"03-25-2020.csv","Franklin, MO, USA","03-25-2020","3"
"Franklin, MS, USA","03-26-2020.csv","Franklin, MS, USA","03-26-2020","2","03-26-2020.csv","Franklin, MS, USA","03-26-2020","2",,,,,,,,,"03-26-2020.csv","Franklin, MS, USA","03-26-2020","2"
"Franklin, NC, USA","03-22-2020.csv","Franklin, NC, USA","03-22-2020","4","03-22-2020.csv","Franklin, NC, USA","03-22-2020","4",,,,,,,,,"03-22-2020.csv","Franklin, NC, USA","03-22-2020","4"
"Franklin, NE, USA",,,,,,,,,,,,,,,,,,,,
"Franklin, NY, USA","03-25-2020.csv","Franklin, NY, USA","03-25-2020","1","03-25-2020.csv","Franklin, NY, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Franklin, NY, USA","03-25-2020","1"
"Franklin, OH, USA","03-22-2020.csv","Franklin, OH, USA","03-22-2020","34","03-22-2020.csv","Franklin, OH, USA","03-22-2020","34","03-23-2020.csv","Franklin, OH, USA","03-23-2020","2",,,,,"03-22-2020.csv","Franklin, OH, USA","03-22-2020","34"
"Franklin, PA, USA","03-22-2020.csv","Franklin, PA, USA","03-22-2020","1","03-22-2020.csv","Franklin, PA, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Franklin, PA, USA","03-22-2020","1"
"Franklin, TN, USA","03-22-2020.csv","Franklin, TN, USA","03-22-2020","1","03-22-2020.csv","Franklin, TN, USA","03-22-2020","1","04-03-2020.csv","Franklin, TN, USA","04-03-2020","1",,,,,"03-22-2020.csv","Franklin, TN, USA","03-22-2020","1"
"Franklin, TX, USA","03-29-2020.csv","Franklin, TX, USA","03-29-2020","1","03-29-2020.csv","Franklin, TX, USA","03-29-2020","1",,,,,,,,,"03-29-2020.csv","Franklin, TX, USA","03-29-2020","1"
"Franklin, VA, USA","03-22-2020.csv","Franklin, VA, USA","03-22-2020","1","03-22-2020.csv","Franklin, VA, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Franklin, VA, USA","03-22-2020","1"
"Franklin, VT, USA","03-22-2020.csv","Franklin, VT, USA","03-22-2020","2","03-22-2020.csv","Franklin, VT, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Franklin, VT, USA","03-22-2020","2"
"Franklin, WA, USA","03-22-2020.csv","Franklin, WA, USA","03-22-2020","3","03-22-2020.csv","Franklin, WA, USA","03-22-2020","3","04-03-2020.csv","Franklin, WA, USA","04-03-2020","1",,,,,"03-22-2020.csv","Franklin, WA, USA","03-22-2020","3"
"Frederick, MD, USA","03-22-2020.csv","Frederick, MD, USA","03-22-2020","1","03-22-2020.csv","Frederick, MD, USA","03-22-2020","1","04-01-2020.csv","Frederick, MD, USA","04-01-2020","1",,,,,"03-22-2020.csv","Frederick, MD, USA","03-22-2020","1"
"Frederick, VA, USA","03-25-2020.csv","Frederick, VA, USA","03-25-2020","2","03-25-2020.csv","Frederick, VA, USA","03-25-2020","2",,,,,,,,,"03-25-2020.csv","Frederick, VA, USA","03-25-2020","2"
"Fredericksburg, VA, USA","03-25-2020.csv","Fredericksburg, VA, USA","03-25-2020","1","03-25-2020.csv","Fredericksburg, VA, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Fredericksburg, VA, USA","03-25-2020","1"
"Freeborn, MN, USA","04-01-2020.csv","Freeborn, MN, USA","04-01-2020","2","04-01-2020.csv","Freeborn, MN, USA","04-01-2020","2",,,,,,,,,"04-01-2020.csv","Freeborn, MN, USA","04-01-2020","2"
"Freestone, TX, USA",,,,,,,,,,,,,,,,,,,,
"Fremont, CO, USA","03-25-2020.csv","Fremont, CO, USA","03-25-2020","1","03-25-2020.csv","Fremont, CO, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Fremont, CO, USA","03-25-2020","1"
"Fremont, IA, USA",,,,,,,,,,,,,,,,,,,,
"Fremont, ID, USA","03-26-2020.csv","Fremont, ID, USA","03-26-2020","1","03-26-2020.csv","Fremont, ID, USA","03-26-2020","1",,,,,,,,,"03-26-2020.csv","Fremont, ID, USA","03-26-2020","1"
"Fremont, WY, USA","03-22-2020.csv","Fremont, WY, USA","03-22-2020","10","03-22-2020.csv","Fremont, WY, USA","03-22-2020","10",,,,,,,,,"03-22-2020.csv","Fremont, WY, USA","03-22-2020","10"
"French Guiana","03-07-2020.csv","French Guiana","03-07-2020","5","03-07-2020.csv","French Guiana","03-07-2020","5",,,,,"03-21-2020.csv","French Guiana","03-21-2020","6","03-07-2020.csv","French Guiana","03-07-2020","5"
"French Guiana, France","03-16-2020.csv","French Guiana, France","03-16-2020","5","03-16-2020.csv","French Guiana, France","03-16-2020","5",,,,,"03-23-2020.csv","French Guiana, France","03-23-2020","6","03-16-2020.csv","French Guiana, France","03-16-2020","5"
"French Polynesia, France","03-13-2020.csv","French Polynesia, France","03-13-2020","3","03-13-2020.csv","French Polynesia, France","03-13-2020","3","03-23-2020.csv","French Polynesia, France","03-23-2020","860","03-23-2020.csv","French Polynesia, France","03-23-2020","2200","03-13-2020.csv","French Polynesia, France","03-13-2020","3"
"Fresno, CA, USA","03-08-2020.csv","Fresno, CA, USA","03-08-2020","1","03-08-2020.csv","Fresno, CA, USA","03-08-2020","1",,,,,,,,,"03-08-2020.csv","Fresno, CA, USA","03-08-2020","1"
"Frio, TX, USA",,,,,,,,,,,,,,,,,,,,
"From Diamond Princess, Australia","02-21-2020.csv","From Diamond Princess, Australia","02-21-2020","4","02-21-2020.csv","From Diamond Princess, Australia","02-21-2020","4",,,,,,,,,"02-21-2020.csv","From Diamond Princess, Australia","02-21-2020","4"
"From Diamond Princess, Israel","02-21-2020.csv","From Diamond Princess, Israel","02-21-2020","1","02-21-2020.csv","From Diamond Princess, Israel","02-21-2020","1",,,,,,,,,"02-21-2020.csv","From Diamond Princess, Israel","02-21-2020","1"
"Frontier, NE, USA",,,,,,,,,,,,,,,,,,,,
"Fujian, China","01-22-2020.csv","Fujian, China","01-22-2020","1","01-22-2020.csv","Fujian, China","01-22-2020","1","02-20-2020.csv","Fujian, China","02-20-2020","1","02-03-2020.csv","Fujian, China","02-03-2020","1","01-22-2020.csv","Fujian, China","01-22-2020","1"
"Fulton, AR, USA",,,,,,,,,,,,,,,,,,,,
"Fulton, GA, USA","03-03-2020.csv","Fulton, GA, USA","03-03-2020","2","03-03-2020.csv","Fulton, GA, USA","03-03-2020","2","03-22-2020.csv","Fulton, GA, USA","03-22-2020","2",,,,,"03-03-2020.csv","Fulton, GA, USA","03-03-2020","2"
"Fulton, IL, USA",,,,,,,,,,,,,,,,,,,,
"Fulton, IN, USA","03-27-2020.csv","Fulton, IN, USA","03-27-2020","1","03-27-2020.csv","Fulton, IN, USA","03-27-2020","1",,,,,,,,,"03-27-2020.csv","Fulton, IN, USA","03-27-2020","1"
"Fulton, KY, USA",,,,,,,,,,,,,,,,,,,,
"Fulton, NY, USA","03-22-2020.csv","Fulton, NY, USA","03-22-2020","1","03-22-2020.csv","Fulton, NY, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Fulton, NY, USA","03-22-2020","1"
"Fulton, OH, USA","03-27-2020.csv","Fulton, OH, USA","03-27-2020","2","03-27-2020.csv","Fulton, OH, USA","03-27-2020","2",,,,,,,,,"03-27-2020.csv","Fulton, OH, USA","03-27-2020","2"
"Fulton, PA, USA",,,,,,,,,,,,,,,,,,,,
"Furnas, NE, USA",,,,,,,,,,,,,,,,,,,,
"GA, USA","03-10-2020.csv","GA, USA","03-10-2020","17","03-10-2020.csv","GA, USA","03-10-2020","17","03-12-2020.csv","GA, USA","03-12-2020","1",,,,,"03-10-2020.csv","GA, USA","03-10-2020","17"
"Gabon","03-14-2020.csv","Gabon","03-14-2020","1","03-14-2020.csv","Gabon","03-14-2020","1","03-20-2020.csv","Gabon","03-20-2020","1","04-03-2020.csv","Gabon","04-03-2020","1","03-14-2020.csv","Gabon","03-14-2020","1"
"Gadsden, FL, USA","03-22-2020.csv","Gadsden, FL, USA","03-22-2020","1","03-22-2020.csv","Gadsden, FL, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Gadsden, FL, USA","03-22-2020","1"
"Gage, NE, USA","03-24-2020.csv","Gage, NE, USA","03-24-2020","1","03-24-2020.csv","Gage, NE, USA","03-24-2020","1","04-03-2020.csv","Gage, NE, USA","04-03-2020","1",,,,,"03-24-2020.csv","Gage, NE, USA","03-24-2020","1"
"Gaines, TX, USA","03-23-2020.csv","Gaines, TX, USA","03-23-2020","1","03-23-2020.csv","Gaines, TX, USA","03-23-2020","1",,,,,,,,,"03-23-2020.csv","Gaines, TX, USA","03-23-2020","1"
"Galax, VA, USA","03-27-2020.csv","Galax, VA, USA","03-27-2020","1","03-27-2020.csv","Galax, VA, USA","03-27-2020","1",,,,,,,,,"03-27-2020.csv","Galax, VA, USA","03-27-2020","1"
"Gallatin, IL, USA",,,,,,,,,,,,,,,,,,,,
"Gallatin, KY, USA",,,,,,,,,,,,,,,,,,,,
"Gallatin, MT, USA","03-22-2020.csv","Gallatin, MT, USA","03-22-2020","10","03-22-2020.csv","Gallatin, MT, USA","03-22-2020","10",,,,,,,,,"03-22-2020.csv","Gallatin, MT, USA","03-22-2020","10"
"Gallia, OH, USA","03-22-2020.csv","Gallia, OH, USA","03-22-2020","1","03-22-2020.csv","Gallia, OH, USA","03-22-2020","1","03-24-2020.csv","Gallia, OH, USA","03-24-2020","1",,,,,"03-22-2020.csv","Gallia, OH, USA","03-22-2020","1"
"Galveston, TX, USA","03-22-2020.csv","Galveston, TX, USA","03-22-2020","11","03-22-2020.csv","Galveston, TX, USA","03-22-2020","11",,,,,,,,,"03-22-2020.csv","Galveston, TX, USA","03-22-2020","11"
"Gambia","03-22-2020.csv","Gambia","03-22-2020","1","03-22-2020.csv","Gambia","03-22-2020","1","03-23-2020.csv","Gambia","03-23-2020","1","04-01-2020.csv","Gambia","04-01-2020","2","03-22-2020.csv","Gambia","03-22-2020","1"
"Gambia, The","03-18-2020.csv","Gambia, The","03-18-2020","1","03-18-2020.csv","Gambia, The","03-18-2020","1",,,,,,,,,"03-18-2020.csv","Gambia, The","03-18-2020","1"
"Gansu, China","01-23-2020.csv","Gansu, China","01-23-2020","2","01-23-2020.csv","Gansu, China","01-23-2020","2","02-08-2020.csv","Gansu, China","02-08-2020","1","02-02-2020.csv","Gansu, China","02-02-2020","3","01-23-2020.csv","Gansu, China","01-23-2020","2"
"Garden, NE, USA",,,,,,,,,,,,,,,,,,,,
"Garfield County, WA, USA","03-22-2020.csv","Garfield County, WA, USA","03-22-2020","1","03-22-2020.csv","Garfield County, WA, USA","03-22-2020","1","03-22-2020.csv","Garfield County, WA, USA","03-22-2020","2",,,,,,,,
"Garfield, CO, USA","03-22-2020.csv","Garfield, CO, USA","03-22-2020","8","03-22-2020.csv","Garfield, CO, USA","03-22-2020","8","03-31-2020.csv","Garfield, CO, USA","03-31-2020","1",,,,,"03-22-2020.csv","Garfield, CO, USA","03-22-2020","8"
"Garfield, MT, USA",,,,,,,,,,,,,,,,,,,,
"Garfield, NE, USA",,,,,,,,,,,,,,,,,,,,
"Garfield, OK, USA","03-29-2020.csv","Garfield, OK, USA","03-29-2020","2","03-29-2020.csv","Garfield, OK, USA","03-29-2020","2",,,,,,,,,"03-29-2020.csv","Garfield, OK, USA","03-29-2020","2"
"Garfield, UT, USA","03-29-2020.csv","Garfield, UT, USA","03-29-2020","1","03-29-2020.csv","Garfield, UT, USA","03-29-2020","1",,,,,,,,,"03-29-2020.csv","Garfield, UT, USA","03-29-2020","1"
"Garfield, WA, USA",,,,,,,,,,,,,,,,,,,,
"Garland, AR, USA","03-22-2020.csv","Garland, AR, USA","03-22-2020","3","03-22-2020.csv","Garland, AR, USA","03-22-2020","3",,,,,,,,,"03-22-2020.csv","Garland, AR, USA","03-22-2020","3"
"Garrard, KY, USA",,,,,,,,,,,,,,,,,,,,
"Garrett, MD, USA","03-23-2020.csv","Garrett, MD, USA","03-23-2020","3","03-23-2020.csv","Garrett, MD, USA","03-23-2020","3",,,,,,,,,"03-23-2020.csv","Garrett, MD, USA","03-23-2020","3"
"Garvin, OK, USA","03-22-2020.csv","Garvin, OK, USA","03-22-2020","2","03-22-2020.csv","Garvin, OK, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Garvin, OK, USA","03-22-2020","2"
"Garza, TX, USA",,,,,,,,,,,,,,,,,,,,
"Gasconade, MO, USA","04-01-2020.csv","Gasconade, MO, USA","04-01-2020","1","04-01-2020.csv","Gasconade, MO, USA","04-01-2020","1",,,,,,,,,"04-01-2020.csv","Gasconade, MO, USA","04-01-2020","1"
"Gaston, NC, USA","03-22-2020.csv","Gaston, NC, USA","03-22-2020","3","03-22-2020.csv","Gaston, NC, USA","03-22-2020","3","04-02-2020.csv","Gaston, NC, USA","04-02-2020","1",,,,,"03-22-2020.csv","Gaston, NC, USA","03-22-2020","3"
"Gates, NC, USA","04-02-2020.csv","Gates, NC, USA","04-02-2020","1","04-02-2020.csv","Gates, NC, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Gates, NC, USA","04-02-2020","1"
"Geary, KS, USA",,,,,,,,,,,,,,,,,,,,
"Geauga, OH, USA","03-22-2020.csv","Geauga, OH, USA","03-22-2020","2","03-22-2020.csv","Geauga, OH, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Geauga, OH, USA","03-22-2020","2"
"Gem, ID, USA","03-28-2020.csv","Gem, ID, USA","03-28-2020","1","03-28-2020.csv","Gem, ID, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Gem, ID, USA","03-28-2020","1"
"Genesee, MI, USA","03-22-2020.csv","Genesee, MI, USA","03-22-2020","14","03-22-2020.csv","Genesee, MI, USA","03-22-2020","14","03-26-2020.csv","Genesee, MI, USA","03-26-2020","2",,,,,"03-22-2020.csv","Genesee, MI, USA","03-22-2020","14"
"Genesee, NY, USA","03-22-2020.csv","Genesee, NY, USA","03-22-2020","1","03-22-2020.csv","Genesee, NY, USA","03-22-2020","1","03-31-2020.csv","Genesee, NY, USA","03-31-2020","1",,,,,"03-22-2020.csv","Genesee, NY, USA","03-22-2020","1"
"Geneva, AL, USA",,,,,,,,,,,,,,,,,,,,
"Gentry, MO, USA",,,,,,,,,,,,,,,,,,,,
"George, MS, USA","03-22-2020.csv","George, MS, USA","03-22-2020","1","03-22-2020.csv","George, MS, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","George, MS, USA","03-22-2020","1"
"Georgetown, SC, USA","03-23-2020.csv","Georgetown, SC, USA","03-23-2020","2","03-23-2020.csv","Georgetown, SC, USA","03-23-2020","2",,,,,,,,,"03-23-2020.csv","Georgetown, SC, USA","03-23-2020","2"
"Georgia","02-26-2020.csv","Georgia","02-26-2020","1","02-26-2020.csv","Georgia","02-26-2020","1",,,,,"03-16-2020.csv","Georgia","03-16-2020","1","02-26-2020.csv","Georgia","02-26-2020","1"
"Germany","02-01-2020.csv","Germany","02-01-2020","8","02-01-2020.csv","Germany","02-01-2020","8","03-09-2020.csv","Germany","03-09-2020","2","02-13-2020.csv","Germany","02-13-2020","1","02-01-2020.csv","Germany","02-01-2020","8"
"Ghana","03-14-2020.csv","Ghana","03-14-2020","3","03-14-2020.csv","Ghana","03-14-2020","3","03-21-2020.csv","Ghana","03-21-2020","1","03-26-2020.csv","Ghana","03-26-2020","1","03-14-2020.csv","Ghana","03-14-2020","3"
"Gibraltar","03-04-2020.csv","Gibraltar","03-04-2020","1","03-04-2020.csv","Gibraltar","03-04-2020","1",,,,,"03-10-2020.csv","Gibraltar","03-10-2020","1","03-04-2020.csv","Gibraltar","03-04-2020","1"
"Gibraltar, United Kingdom","03-11-2020.csv","Gibraltar, United Kingdom","03-11-2020","1","03-11-2020.csv","Gibraltar, United Kingdom","03-11-2020","1",,,,,"03-11-2020.csv","Gibraltar, United Kingdom","03-11-2020","1","03-17-2020.csv","Gibraltar, United Kingdom","03-17-2020","2"
"Gibson, IN, USA","03-24-2020.csv","Gibson, IN, USA","03-24-2020","2","03-24-2020.csv","Gibson, IN, USA","03-24-2020","2",,,,,,,,,"03-24-2020.csv","Gibson, IN, USA","03-24-2020","2"
"Gibson, TN, USA","03-22-2020.csv","Gibson, TN, USA","03-22-2020","1","03-22-2020.csv","Gibson, TN, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Gibson, TN, USA","03-22-2020","1"
"Gila, AZ, USA","03-28-2020.csv","Gila, AZ, USA","03-28-2020","1","03-28-2020.csv","Gila, AZ, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Gila, AZ, USA","03-28-2020","1"
"Gilchrist, FL, USA",,,,,,,,,,,,,,,,,,,,
"Giles, TN, USA","03-30-2020.csv","Giles, TN, USA","03-30-2020","1","03-30-2020.csv","Giles, TN, USA","03-30-2020","1",,,,,,,,,"03-30-2020.csv","Giles, TN, USA","03-30-2020","1"
"Giles, VA, USA",,,,,,,,,,,,,,,,,,,,
"Gillespie, TX, USA","03-31-2020.csv","Gillespie, TX, USA","03-31-2020","1","03-31-2020.csv","Gillespie, TX, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Gillespie, TX, USA","03-31-2020","1"
"Gilliam, OR, USA",,,,,,,,,,,,,,,,,,,,
"Gilmer, GA, USA","03-30-2020.csv","Gilmer, GA, USA","03-30-2020","1","03-30-2020.csv","Gilmer, GA, USA","03-30-2020","1",,,,,,,,,"03-30-2020.csv","Gilmer, GA, USA","03-30-2020","1"
"Gilmer, WV, USA",,,,,,,,,,,,,,,,,,,,
"Gilpin, CO, USA",,,,,,,,,,,,,,,,,,,,
"Glacier, MT, USA","04-03-2020.csv","Glacier, MT, USA","04-03-2020","1","04-03-2020.csv","Glacier, MT, USA","04-03-2020","1",,,,,,,,,"04-03-2020.csv","Glacier, MT, USA","04-03-2020","1"
"Glades, FL, USA","03-30-2020.csv","Glades, FL, USA","03-30-2020","3","03-30-2020.csv","Glades, FL, USA","03-30-2020","3","03-31-2020.csv","Glades, FL, USA","03-31-2020","1",,,,,"03-30-2020.csv","Glades, FL, USA","03-30-2020","3"
"Gladwin, MI, USA","03-22-2020.csv","Gladwin, MI, USA","03-22-2020","1","03-22-2020.csv","Gladwin, MI, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Gladwin, MI, USA","03-22-2020","1"
"Glascock, GA, USA",,,,,,,,,,,,,,,,,,,,
"Glasscock, TX, USA",,,,,,,,,,,,,,,,,,,,
"Glenn, CA, USA","03-29-2020.csv","Glenn, CA, USA","03-29-2020","1","03-29-2020.csv","Glenn, CA, USA","03-29-2020","1",,,,,,,,,"03-29-2020.csv","Glenn, CA, USA","03-29-2020","1"
"Gloucester, NJ, USA","03-22-2020.csv","Gloucester, NJ, USA","03-22-2020","8","03-22-2020.csv","Gloucester, NJ, USA","03-22-2020","8","03-28-2020.csv","Gloucester, NJ, USA","03-28-2020","1",,,,,"03-22-2020.csv","Gloucester, NJ, USA","03-22-2020","8"
"Gloucester, VA, USA","03-22-2020.csv","Gloucester, VA, USA","03-22-2020","2","03-22-2020.csv","Gloucester, VA, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Gloucester, VA, USA","03-22-2020","2"
"Glynn, GA, USA","03-22-2020.csv","Glynn, GA, USA","03-22-2020","3","03-22-2020.csv","Glynn, GA, USA","03-22-2020","3",,,,,,,,,"03-22-2020.csv","Glynn, GA, USA","03-22-2020","3"
"Gogebic, MI, USA","03-27-2020.csv","Gogebic, MI, USA","03-27-2020","1","03-27-2020.csv","Gogebic, MI, USA","03-27-2020","1","03-27-2020.csv","Gogebic, MI, USA","03-27-2020","1",,,,,"03-31-2020.csv","Gogebic, MI, USA","03-31-2020","1"
"Golden Valley, MT, USA",,,,,,,,,,,,,,,,,,,,
"Golden Valley, ND, USA",,,,,,,,,,,,,,,,,,,,
"Goliad, TX, USA","04-02-2020.csv","Goliad, TX, USA","04-02-2020","1","04-02-2020.csv","Goliad, TX, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Goliad, TX, USA","04-02-2020","1"
"Gonzales, TX, USA","04-01-2020.csv","Gonzales, TX, USA","04-01-2020","1","04-01-2020.csv","Gonzales, TX, USA","04-01-2020","1",,,,,,,,,"04-01-2020.csv","Gonzales, TX, USA","04-01-2020","1"
"Goochland, VA, USA","03-22-2020.csv","Goochland, VA, USA","03-22-2020","2","03-22-2020.csv","Goochland, VA, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Goochland, VA, USA","03-22-2020","2"
"Goodhue, MN, USA","03-25-2020.csv","Goodhue, MN, USA","03-25-2020","1","03-25-2020.csv","Goodhue, MN, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Goodhue, MN, USA","03-25-2020","1"
"Gooding, ID, USA","04-02-2020.csv","Gooding, ID, USA","04-02-2020","1","04-02-2020.csv","Gooding, ID, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Gooding, ID, USA","04-02-2020","1"
"Gordon, GA, USA","03-22-2020.csv","Gordon, GA, USA","03-22-2020","4","03-22-2020.csv","Gordon, GA, USA","03-22-2020","4","03-28-2020.csv","Gordon, GA, USA","03-28-2020","1",,,,,"03-22-2020.csv","Gordon, GA, USA","03-22-2020","4"
"Goshen, WY, USA","03-27-2020.csv","Goshen, WY, USA","03-27-2020","1","03-27-2020.csv","Goshen, WY, USA","03-27-2020","1",,,,,,,,,"03-27-2020.csv","Goshen, WY, USA","03-27-2020","1"
"Gosper, NE, USA","03-29-2020.csv","Gosper, NE, USA","03-29-2020","1","03-29-2020.csv","Gosper, NE, USA","03-29-2020","1",,,,,,,,,"03-29-2020.csv","Gosper, NE, USA","03-29-2020","1"
"Gove, KS, USA","03-27-2020.csv","Gove, KS, USA","03-27-2020","1","03-27-2020.csv","Gove, KS, USA","03-27-2020","1",,,,,,,,,"03-27-2020.csv","Gove, KS, USA","03-27-2020","1"
"Grady, GA, USA","03-31-2020.csv","Grady, GA, USA","03-31-2020","1","03-31-2020.csv","Grady, GA, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Grady, GA, USA","03-31-2020","1"
